DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,3314388.500000,-172.76
1,2,6829253.500000,-96.54
1,4,3871289.000000,-109.99
1,5,4121270.500000,-118.93
1,8,5764054.500000,-170.80
1,10,2732185.750000,-1.97
1,16,615063.875000,-101.29
1,20,4851950.000000,133.37
1,25,141471.312500,17.12
1,32,159740.484375,-83.02
1,40,109586.210938,-89.72
1,50,77159.296875,-58.51
1,80,31290.074219,-84.98
1,100,22782.705078,-85.50
1,125,16879.095703,-84.11
1,160,12154.483398,-83.68
1,200,9462.048828,-81.74
1,250,7367.886719,-80.13
1,400,4520.121582,-73.40
1,500,3638.830566,-69.61
1,625,2972.525635,-65.04
1,800,2484.271973,-58.97
1,1000,2119.657471,-52.66
1,1250,1851.561035,-45.20
1,2000,1502.496338,-29.32
1,2500,1402.470093,-21.43
1,3125,1341.048218,-13.94
1,4000,1289.896118,-5.79
1,5000,1261.053345,1.30
1,6250,1241.673950,8.43
1,10000,1226.103516,23.94
1,12500,1230.974121,31.65
1,15625,1229.265747,39.29
1,25000,1239.300537,58.17
1,50000,1304.522339,82.73
1,62500,1360.075439,87.23
1,80000,1201.161987,128.08
1,100000,1193.149780,134.81
