DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,777469.437500,50.59
1,2,469166.281250,135.66
1,4,1003318.375000,107.99
1,5,993912.625000,-15.99
1,8,347469.843750,-159.75
1,10,1953194.750000,-113.82
1,16,311855.718750,26.30
1,20,532339.812500,-162.19
1,25,172767.937500,-88.12
1,32,378802.343750,-141.86
1,40,482818.687500,121.11
1,50,151360.015625,83.03
1,80,1142260.750000,58.04
1,100,485021.093750,-130.27
1,125,612181.687500,7.82
1,160,628101.000000,88.66
1,200,1397478.250000,-130.41
1,250,641288.000000,-125.03
1,400,176350.234375,-80.93
1,500,63467.785156,-87.62
1,625,30910.675781,-80.33
1,800,17725.119141,-84.06
1,1000,11082.815430,-85.73
1,1250,7203.410645,-86.39
1,2000,3430.995850,-83.52
1,2500,2576.489746,-81.59
1,3125,2004.058960,-76.06
1,4000,1407.379517,-74.76
1,5000,1030.005127,-71.82
1,6250,825.573364,-68.21
1,10000,535.542969,-57.73
1,12500,427.614807,-85.38
1,15625,341.494019,-84.98
1,25000,210.756989,-86.31
1,50000,105.768295,-86.08
1,62500,86.456116,-85.69
1,80000,66.506943,-85.15
1,100000,53.258461,-82.69
