DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,13529223.000000,-70.48
1,2,8539701.000000,73.33
1,4,1768995.875000,-88.78
1,5,1345679.750000,-48.53
1,8,4693189.000000,-27.01
1,10,2339763.000000,5.59
1,16,650600.562500,-126.82
1,20,1125852.625000,-81.92
1,25,137843.765625,-12.39
1,32,191469.578125,-64.60
1,40,149405.156250,-79.41
1,50,54316.746094,-96.80
1,80,37672.148438,-86.84
1,100,26286.230469,-85.86
1,125,18817.636719,-85.10
1,160,13319.368164,-84.82
1,200,10223.411133,-82.12
1,250,7924.098145,-81.97
1,400,4733.387695,-76.52
1,500,3767.628174,-73.39
1,625,3046.528564,-69.66
1,800,2495.337158,-64.17
1,1000,2090.516357,-58.70
1,1250,1785.186768,-51.75
1,2000,1374.408691,-35.66
1,2500,1253.912964,-27.39
1,3125,1175.996948,-19.25
1,4000,1113.352539,-10.25
1,5000,1078.596802,-2.50
1,6250,1054.563232,5.27
1,10000,1032.444336,21.84
1,12500,1035.442139,29.96
1,15625,1032.574341,37.98
1,25000,1038.392212,57.30
1,50000,1096.455200,83.28
1,62500,1143.505615,87.29
1,80000,1206.329224,87.28
1,100000,1004.533386,134.64
