DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,20782.406250,-47.99
1,2,13058.460938,-47.50
1,4,8864.036133,-41.68
1,5,7901.297852,-40.82
1,8,6334.398926,-38.70
1,10,5756.988770,-37.62
1,16,4614.668457,-37.23
1,20,4137.675293,-37.55
1,25,3685.288330,-38.15
1,32,3223.478516,-39.63
1,40,2901.962402,-40.87
1,50,2478.670166,-43.12
1,80,1867.181152,-47.13
1,100,1583.667114,-49.12
1,125,1331.442627,-51.19
1,160,1080.322998,-53.72
1,200,876.740601,-56.18
1,250,691.239502,-58.97
1,400,479.813751,-58.60
1,500,387.086365,-59.59
1,625,312.408234,-60.19
1,800,249.514038,-60.47
1,1000,202.107224,-61.11
1,1250,164.655609,-61.95
1,2000,107.900269,-61.70
1,2500,88.916084,-61.40
1,3125,72.674629,-60.00
1,4000,59.696964,-59.88
1,5000,50.591263,-58.06
1,6250,42.687092,-56.50
1,10000,31.918291,-50.99
1,12500,27.910547,-47.92
1,15625,24.985481,-45.92
1,25000,19.587759,-38.19
1,50000,15.214324,-27.75
1,62500,14.476061,-25.39
1,80000,13.661207,-21.85
1,100000,13.309230,-19.88
