DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,45725.734375,-35.10
1,2,31326.128906,-38.33
1,4,21127.705078,-42.74
1,5,18054.162109,-41.63
1,8,13619.734375,-42.41
1,10,12081.481445,-42.88
1,16,9070.863281,-42.41
1,20,8103.351074,-42.92
1,25,6969.862305,-42.74
1,32,5996.636719,-43.17
1,40,5359.668945,-43.94
1,50,4648.533691,-45.25
1,80,3348.323242,-48.16
1,100,2830.212646,-50.24
1,125,2344.795166,-52.58
1,160,1822.405518,-56.83
1,200,1384.048096,-60.81
1,250,1015.294739,-65.35
1,400,667.418701,-66.61
1,500,517.182922,-67.91
1,625,394.289642,-69.42
1,800,295.950592,-70.85
1,1000,232.009583,-70.92
1,1250,181.272247,-71.30
1,2000,111.566864,-69.65
1,2500,89.544449,-68.60
1,3125,71.798126,-66.16
1,4000,57.836590,-64.83
1,5000,48.323658,-61.84
1,6250,40.298763,-59.11
1,10000,29.941666,-51.09
1,12500,26.272354,-46.87
1,15625,23.726912,-43.89
1,25000,19.173801,-34.54
1,50000,15.740395,-23.71
1,62500,15.204155,-21.87
1,80000,14.532053,-18.71
1,100000,14.199333,-15.53
