DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,42142.691406,-35.85
1,2,30103.806641,-38.70
1,4,19257.541016,-42.19
1,5,16563.310547,-41.42
1,8,12645.954102,-43.70
1,10,11219.807617,-42.86
1,16,8526.216797,-42.58
1,20,7473.080566,-42.56
1,25,6551.418457,-43.40
1,32,5710.833008,-43.92
1,40,4967.337402,-44.61
1,50,4255.428711,-45.85
1,80,3044.633301,-48.97
1,100,2573.604980,-50.83
1,125,2101.942871,-53.67
1,160,1631.645020,-57.57
1,200,1241.509033,-61.59
1,250,914.653564,-65.92
1,400,600.973633,-67.01
1,500,467.311798,-68.31
1,625,357.620300,-69.56
1,800,271.955688,-69.80
1,1000,212.435608,-70.63
1,1250,166.949600,-70.85
1,2000,103.570427,-68.82
1,2500,83.442665,-67.53
1,3125,67.274521,-64.97
1,4000,54.525463,-63.53
1,5000,45.751518,-60.53
1,6250,38.372261,-57.79
1,10000,28.771860,-49.78
1,12500,25.443974,-46.72
1,15625,22.620663,-42.98
1,25000,18.648169,-33.90
1,50000,15.384002,-23.39
1,62500,14.867435,-21.68
1,80000,14.254466,-18.57
1,100000,13.890524,-15.58
