DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,47047.855469,-34.19
1,2,30867.992188,-43.85
1,4,20387.544922,-40.97
1,5,18433.429688,-43.10
1,8,13809.598633,-42.41
1,10,12048.078125,-42.60
1,16,9111.133789,-42.31
1,20,7895.913574,-42.16
1,25,6927.229004,-43.21
1,32,6057.850098,-43.38
1,40,5297.005371,-44.13
1,50,4583.066406,-44.98
1,80,3301.546143,-47.87
1,100,2806.035156,-50.01
1,125,2297.975342,-52.89
1,160,1788.597046,-56.94
1,200,1360.736206,-60.95
1,250,995.644226,-65.49
1,400,655.044434,-66.50
1,500,508.482758,-68.14
1,625,386.709534,-69.52
1,800,291.713593,-70.57
1,1000,228.806641,-70.94
1,1250,178.661911,-71.29
1,2000,109.793694,-69.71
1,2500,88.468666,-68.47
1,3125,71.047562,-65.99
1,4000,57.098347,-64.61
1,5000,47.847584,-61.62
1,6250,39.915047,-58.87
1,10000,29.688025,-50.75
1,12500,26.166643,-47.55
1,15625,23.197842,-43.72
1,25000,19.062321,-34.45
1,50000,15.692656,-23.66
1,62500,15.164367,-21.76
1,80000,14.498049,-18.65
1,100000,14.164138,-15.50
