DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,34325788.000000,-160.39
1,2,3055395.250000,-98.91
1,4,3219487.000000,-154.55
1,5,14416003.000000,-44.33
1,8,4532856.500000,-4.79
1,10,2263364.500000,-96.54
1,16,612030.687500,-41.31
1,20,862023.500000,-132.88
1,25,135902.843750,104.75
1,32,153464.218750,-82.18
1,40,98734.460938,-84.66
1,50,46506.546875,-95.45
1,80,31642.312500,-84.99
1,100,22671.835938,-85.39
1,125,16878.787109,-84.69
1,160,12786.444336,-83.00
1,200,9444.356445,-81.17
1,250,7297.061035,-78.43
1,400,4523.204102,-73.51
1,500,3644.880859,-69.67
1,625,2983.228271,-65.03
1,800,2493.862549,-58.98
1,1000,2124.805176,-52.65
1,1250,1853.283325,-45.27
1,2000,1503.301514,-29.46
1,2500,1401.730469,-21.46
1,3125,1342.941284,-13.95
1,4000,1289.649780,-5.81
1,5000,1261.432251,1.26
1,6250,1241.980225,8.43
1,10000,1227.150024,23.91
1,12500,1232.005249,31.72
1,15625,1229.722412,39.31
1,25000,1239.148926,58.11
1,50000,1319.599243,83.53
1,62500,1357.974731,87.23
1,80000,1199.134155,128.05
1,100000,1193.785645,134.65
