DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,49914.343750,-33.38
1,2,29859.382812,-40.31
1,4,20685.283203,-40.83
1,5,18119.724609,-40.96
1,8,13735.703125,-42.84
1,10,11986.846680,-42.70
1,16,9050.286133,-42.94
1,20,7967.733887,-43.29
1,25,7065.504883,-42.65
1,32,6105.384277,-43.55
1,40,5334.681641,-44.09
1,50,4610.508789,-44.92
1,80,3352.378662,-47.99
1,100,2804.429688,-50.17
1,125,2339.566406,-52.47
1,160,1833.077759,-56.31
1,200,1397.361450,-60.60
1,250,1027.812256,-65.08
1,400,678.293152,-66.23
1,500,524.215576,-67.70
1,625,399.721893,-69.20
1,800,302.102142,-70.44
1,1000,235.525513,-70.82
1,1250,184.488129,-71.19
1,2000,113.385033,-69.71
1,2500,90.880516,-68.65
1,3125,72.826523,-66.30
1,4000,58.647842,-65.08
1,5000,49.004574,-62.25
1,6250,40.788078,-59.54
1,10000,30.171871,-51.54
1,12500,26.430784,-47.35
1,15625,23.828905,-44.50
1,25000,19.198296,-34.94
1,50000,15.711192,-23.98
1,62500,15.177669,-22.01
1,80000,14.516115,-18.85
1,100000,14.196509,-15.47
