DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,20391.228516,-51.73
1,2,12760.777344,-49.04
1,4,8558.257812,-42.29
1,5,7693.724121,-40.74
1,8,6135.122070,-37.88
1,10,5528.279297,-37.27
1,16,4377.242676,-37.08
1,20,3950.009033,-37.41
1,25,3540.535156,-38.11
1,32,3114.398438,-39.21
1,40,2790.575195,-40.92
1,50,2376.700439,-43.33
1,80,1803.643311,-46.78
1,100,1530.107300,-49.06
1,125,1281.692871,-51.24
1,160,1043.144775,-53.87
1,200,846.115967,-56.04
1,250,668.870972,-58.85
1,400,465.548309,-58.20
1,500,377.639771,-59.01
1,625,303.952393,-59.75
1,800,243.988632,-60.07
1,1000,198.058945,-60.75
1,1250,162.099976,-61.53
1,2000,106.487518,-61.23
1,2500,87.979935,-60.96
1,3125,72.095215,-59.57
1,4000,59.303436,-59.42
1,5000,50.277245,-57.63
1,6250,42.458435,-56.08
1,10000,31.909822,-50.42
1,12500,27.955519,-47.38
1,15625,25.037561,-45.59
1,25000,19.692844,-37.70
1,50000,15.358459,-27.33
1,62500,14.632476,-25.12
1,80000,13.811855,-21.51
1,100000,13.413463,-18.06
