DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,3007716.250000,10.40
1,2,1505895.750000,1.25
1,4,2828690.000000,158.88
1,5,1587094.875000,-70.54
1,8,3103531.500000,-58.93
1,10,5097557.500000,-79.91
1,16,1038158.687500,-111.73
1,20,12291753.000000,176.71
1,25,196867.875000,-63.54
1,32,3568744.000000,-82.08
1,40,1941757.625000,-179.27
1,50,193982.796875,-19.58
1,80,1227170.250000,-27.07
1,100,702705.000000,-77.36
1,125,350228.250000,-83.26
1,160,106026.601562,-86.55
1,200,61304.781250,-86.21
1,250,35419.941406,-88.25
1,400,12724.998047,-87.08
1,500,8816.354492,-86.40
1,625,6451.829102,-85.73
1,800,4805.536621,-84.44
1,1000,3714.933105,-82.94
1,1250,2922.137207,-80.97
1,2000,1848.752930,-74.33
1,2500,1485.221191,-69.90
1,3125,1196.880127,-64.39
1,4000,956.161682,-57.07
1,5000,786.369568,-49.88
1,6250,652.013733,-41.01
1,10000,463.302032,-46.95
1,12500,417.732513,-39.36
1,15625,381.828094,-33.30
1,25000,335.575897,-19.38
1,50000,306.686188,0.83
1,62500,304.278687,6.40
1,80000,302.613586,12.43
1,100000,300.044952,21.34
