DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,40597.570312,-36.99
1,2,29696.603516,-37.93
1,4,18299.177734,-42.58
1,5,16346.941406,-41.31
1,8,12594.528320,-42.70
1,10,10855.738281,-43.26
1,16,8376.780273,-42.49
1,20,7315.450684,-43.23
1,25,6418.948242,-43.92
1,32,5585.501953,-44.13
1,40,4856.070312,-44.21
1,50,4220.882324,-45.51
1,80,3006.517822,-48.68
1,100,2544.015625,-51.13
1,125,2067.749756,-53.90
1,160,1605.010010,-57.91
1,200,1219.963501,-61.78
1,250,900.496277,-65.93
1,400,591.135681,-66.88
1,500,459.105682,-68.30
1,625,352.786072,-69.35
1,800,268.647705,-69.92
1,1000,209.834534,-70.40
1,1250,164.769104,-70.53
1,2000,102.758339,-68.61
1,2500,82.913269,-67.33
1,3125,66.924110,-64.80
1,4000,54.203194,-63.38
1,5000,45.600513,-60.38
1,6250,38.217197,-57.63
1,10000,28.688524,-49.69
1,12500,25.364285,-46.62
1,15625,22.536524,-42.88
1,25000,18.600645,-33.94
1,50000,15.337827,-23.40
1,62500,14.808680,-21.61
1,80000,14.154428,-18.59
1,100000,13.834592,-15.28
