DUT,Frequency_Hz,Magnitude_Ohms,Phase_Deg
1,1,8525311.000000,-34.59
1,2,612987.625000,50.73
1,4,1621129.250000,-1.38
1,5,2700969.750000,150.12
1,8,8519973.000000,-140.47
1,10,3085555.500000,-116.63
1,16,846857.062500,-162.59
1,20,533592.500000,144.00
1,25,142498.234375,-148.66
1,32,144610.765625,-81.39
1,40,92415.101562,-91.95
1,50,68982.234375,-112.24
1,80,30915.494141,-84.77
1,100,22781.865234,-84.03
1,125,16967.728516,-82.96
1,160,12416.577148,-82.10
1,200,9669.502930,-79.20
1,250,7587.405273,-78.11
1,400,4784.515625,-70.47
1,500,3891.272949,-66.17
1,625,3222.900879,-61.12
1,800,2683.334717,-54.32
1,1000,2376.071289,-47.62
1,1250,2118.065430,-40.19
1,2000,1789.146851,-24.71
1,2500,1695.476074,-17.23
1,3125,1639.023438,-10.32
1,4000,1589.956055,-2.77
1,5000,1565.216309,3.81
1,6250,1547.022705,10.48
1,10000,1535.224121,25.21
1,12500,1543.147827,32.80
1,15625,1541.850098,40.21
1,25000,1555.900513,58.58
1,50000,1638.514526,82.80
1,62500,1493.829834,119.22
1,80000,1500.708008,128.15
1,100000,1491.394165,134.43
