1,1,99300.515625,0.02
1,2,99422.851562,-0.12
1,4,99258.835938,0.14
1,5,99229.250000,0.23
1,8,99105.570312,0.12
1,10,99304.859375,0.02
1,16,99305.742188,0.02
1,20,99054.125000,0.05
1,25,99412.015625,0.03
1,32,98864.687500,0.12
1,40,99869.218750,0.34
1,50,100575.359375,2.16
1,80,99214.000000,0.31
1,100,99333.937500,0.21
1,125,99428.601562,-0.15
1,160,98836.242188,1.43
1,200,99846.062500,0.10
1,250,98487.171875,-0.06
1,400,99188.554688,0.40
1,500,99644.195312,0.57
1,625,98621.687500,0.96
1,800,99517.414062,0.89
1,1000,98663.015625,1.54
1,1250,99169.695312,2.33
1,2000,99269.132812,4.97
1,2500,99430.226562,6.98
1,3125,99136.257812,9.28
1,4000,99281.414062,12.48
1,5000,98710.773438,16.19
1,6250,99051.500000,21.07
1,10000,99041.390625,33.84
1,12500,99899.515625,41.79
1,15625,99577.765625,49.85
1,25000,99721.359375,74.15
1,50000,104137.039062,127.12
1,62500,104261.492188,143.21
1,80000,99789.421875,166.32
1,100000,99472.695312,180.47
