# Voltage Calibration Data
# Format: freq,gain,phase_offset
# freq: Frequency in Hz
# gain: Voltage gain (V_measured/V_actual)
# phase_offset: Phase offset in degrees
freq,gain,phase_offset
100,14.951966721961,175.743400936332
80,14.9265869644095,176.189034883172
62.5,14.9033608123598,176.650697058096
50,14.8865249314821,177.040481439296
25,14.8575609278989,178.092732859793
15.625,14.8627583418347,178.677317467317
12.5,14.8701253641561,178.920151609455
10,14.879996675664,179.141077633263
6.25,14.8972537549959,179.534018212083
5,14.9044965326037,179.6846810024
4,14.9053529034624,179.810152453522
3.125,14.9068424819537,179.916116215706
2.5,14.9069380817173,179.976889303478
2,14.9097034308135,179.996393317999
1.25,14.9217698669078,179.995137535105
1,14.9262229767018,180.030684731437
0.8,14.9268211307976,180.066721244697
0.625,14.9245278222385,180.103795148014
0.5,14.9205607407018,180.12209279752
0.4,14.9178003466651,180.152087334852
0.25,14.9134107581482,180.186766405341
0.2,14.9125832988974,180.154856931677
0.16,14.9142789369781,180.129778793249
0.125,14.9174614185556,180.088608166714
0.1,14.9202295326512,180.054037834723
0.08,14.9207800189125,180.013267874942
0.05,14.9187447086667,179.94440204108
0.04,14.9163378529712,179.925297161103
0.032,14.913906710568,179.913000993252
0.025,14.9136437513343,179.905821374453
0.02,14.9157381528104,179.904405612324
0.016,14.9186368338436,179.907492291474
0.01,14.921472108949,179.928289082202
0.008,14.9220122043336,179.945066581618
0.005,14.9223812238592,179.995855191952
0.004,14.9231202945317,180.027756276311
0.002,14.9259974743646,180.161462666925
0.001,14.930587179647,180.352222867894
