# PGA Gain 5 Calibration Data
# Format: freq,gain,phase_offset
# freq: Frequency in Hz
# gain: PGA gain correction factor
# phase_offset: Phase offset in degrees
freq,gain,phase_offset
100,4.57738242039882,-1.9245673253568
80,4.57679464537217,-1.57843227749657
62.5,4.57652869964034,-1.25295028953595
50,4.57662333076539,-1.01060061239149
25,4.57851207234478,-0.568879792256586
15.625,4.58005920349055,-0.538533532388038
12.5,4.58164061598572,-0.603671357641514
10,4.58408934644258,-0.731293709985299
6.25,4.60391357378286,-1.33826198151978
5,4.62024221969176,-1.66654902484276
4,4.64713005006061,-1.95259451227882
3.125,4.68281356572783,-2.20644854684555
2.5,4.71972049417261,-2.31056006212032
2,4.75913494054733,-2.45949072902173
1.25,4.84254811005304,-2.15198472766418
1,4.87369312467247,-1.82113601114103
0.8,4.89333389187433,-1.44030409398389
0.625,4.9055784135389,-0.999803185051346
0.5,4.90915588878211,-0.618498171907555
0.4,4.90939939275239,-0.298971940813508
0.25,4.90502720951735,-0.0236126373374613
0.2,4.9097863780241,0.0243300522477837
0.16,4.92167133359078,0.0792605097101452
0.125,4.93656020211088,0.120312861032338
0.1,4.94934588110402,0.136270617379936
0.08,4.95926700741205,0.136167429929923
0.05,4.97079781397701,0.145664187442872
0.04,4.97178472261539,0.118896165344737
0.032,4.97135835428227,0.123430973028269
0.025,4.97110063119803,-0.0764943565197733
0.02,4.97184542909547,-0.20256768948116
0.016,4.97107323204745,-0.267650028510211
0.01,4.96892872168577,-0.286929957778921
0.008,4.96764911294536,-0.203027592385715
0.005,4.96616244772437,-0.017504224588088
0.004,4.9658223652637,0.09280474823408
0.002,4.96440284756904,0.548289642856929
0.001,4.9627344118803,1.14821153786846
