# PGA Gain 10 Calibration Data
# Format: freq,gain,phase_offset
# freq: Frequency in Hz
# gain: PGA gain correction factor
# phase_offset: Phase offset in degrees
freq,gain,phase_offset
100,9.16565407040116,-2.41633166224937
80,9.16194684052074,-1.98749977139278
62.5,9.15811074410675,-1.58807432559378
50,9.15512624255679,-1.29297119380224
25,9.15000669017994,-0.756749221275946
15.625,9.15309621295726,-0.710012471426039
12.5,9.16007871564353,-0.783919382642519
10,9.16926465225394,-0.937644758854687
6.25,9.22117122900256,-1.53779463307607
5,9.26061887566765,-1.73808066656355
4,9.31157131985579,-1.84780661387763
3.125,9.37911320165814,-1.91268798292066
2.5,9.45272433747862,-1.88540433229673
2,9.53365465505383,-1.86702289047979
1.25,9.6815983798899,-1.60258835183262
1,9.7299312302272,-1.37016298126013
0.8,9.76025509205711,-1.10790050444795
0.625,9.77847397868236,-0.824472433513252
0.5,9.77918034522654,-0.60494484451417
0.4,9.77577997932523,-0.460113774633336
0.25,9.78839899256012,-0.290779561873541
0.2,9.81138153693017,-0.194052538074436
0.16,9.84498662274302,-0.0933160900941833
0.125,9.88022768197509,0.026744629289044
0.1,9.91038344702372,0.171635980968465
0.08,9.92757738376624,0.343500522741139
0.05,9.92981125137729,0.533003218634645
0.04,9.92488063581764,0.53323421263729
0.032,9.92653616335124,0.556574627676288
0.025,9.93354477712472,0.405838355512721
0.02,9.94185093217012,0.274898092381739
0.016,9.94753570847324,0.148085053055589
0.01,9.94993275176506,-0.157129475400288
0.008,9.94892620992435,-0.227300143704131
0.005,9.95007647859462,-0.316809282784257
0.004,9.95122321622824,-0.334894520644179
0.002,9.95312368137092,-0.294309945890523
0.001,9.95504961003769,-0.111063434221006
