# PGA Gain 2 Calibration Data
# Format: freq,gain,phase_offset
# freq: Frequency in Hz
# gain: PGA gain correction factor
# phase_offset: Phase offset in degrees
freq,gain,phase_offset
100,1.83906733297785,-1.3112453388566
80,1.83658086041474,-0.876915969403249
62.5,1.83464891993378,-0.485401058393536
50,1.83358060722951,-0.209436790328262
25,1.83430401821357,0.184813705530065
15.625,1.83773990160755,0.0466107867673508
12.5,1.8399805344118,-0.139477894455968
10,1.84276989182884,-0.38505530060723
6.25,1.85531722860064,-1.22336282667263
5,1.86460965693276,-1.59537993553697
4,1.87657525477191,-1.88359539126004
3.125,1.89288518566378,-2.16718725440315
2.5,1.90973915758972,-2.30147559422863
2,1.92687747773335,-2.46769802662233
1.25,1.95792332858305,-2.13478956839971
1,1.96882066111201,-1.75138778936889
0.8,1.97661716272153,-1.3446482560755
0.625,1.98238119053677,-0.934880569129813
0.5,1.98559858972227,-0.633287199545856
0.4,1.98858943452891,-0.380854454255103
0.25,1.99215155808178,-0.173133704662295
0.2,1.99158841915025,-0.184472901985757
0.16,1.99055085814132,-0.195135094584056
0.125,1.9897540532747,-0.210287004880458
0.1,1.98977213475695,-0.223823012310971
0.08,1.99,-0.199832766895836
0.05,1.99,-0.0504373984770298
0.04,1.98977213475695,0.0109194653747511
0.032,1.98959992161943,0.0611881340896094
0.025,1.9900603716197,0.0355820323274091
0.02,1.99072671402762,-0.0134164569594936
0.016,1.9918743692443,-0.0885027004299902
0.01,1.99353010004737,-0.309317377609206
0.008,1.99417920991601,-0.402894684308237
0.005,1.99551019724897,-0.517741059988007
0.004,1.99617535245934,-0.547857348380425
0.002,1.99814468225515,-0.55423110381164
0.001,2.00033149626864,-0.412552263531035
