# EIS Calibration Lookup Table
# Format: frequency_hz, tia_mode, pga_gain_index, magnitude_ratio, phase_offset_deg
# tia_mode: 0=high TIA gain, 1=low TIA gain
# pga_gain_index: 0-7 (maps to gains: 1, 2, 5, 10, 20, 50, 100, 200)

50,1,7,496.075883,0.01
80,0,0,496.990195,0.08
80,0,1,993.037598,0.09
80,0,2,2482.199417,0.03
80,0,3,4907.166813,0.03
80,0,4,9911.558783,0.05
80,0,5,24749.538251,0.03
80,0,6,49478.491229,0.07
80,0,7,98699.740776,-0.07
80,1,0,2.485526,-0.01
80,1,1,4.967822,-0.01
80,1,2,12.438326,0.00
80,1,3,24.843941,0.03
80,1,4,49.736493,0.07
80,1,5,124.152503,0.03
80,1,6,248.473728,-0.01
80,1,7,496.171769,-0.04
100,0,0,496.904630,0.04
100,0,1,993.124035,0.04
100,0,2,2481.789648,-0.01
100,0,3,4905.220490,-0.00
100,0,4,9922.859351,0.03
100,0,5,24762.637510,0.04
100,0,6,49379.626225,-0.07
100,0,7,98619.957132,-0.07
100,1,0,2.484357,-0.02
100,1,1,4.964930,-0.04
100,1,2,12.435612,-0.04
100,1,3,24.855893,-0.04
100,1,4,49.755866,-0.02
100,1,5,124.189123,-0.06
100,1,6,248.281206,-0.10
100,1,7,495.706819,-0.04
125,0,0,497.033223,0.05
125,0,1,992.694933,0.07
125,0,2,2482.518344,-0.01
125,0,3,4905.690186,-0.01
125,0,4,9918.682738,0.01
125,0,5,24762.894542,0.00
125,0,6,49613.504952,-0.08
125,0,7,98830.150701,-0.06
125,1,0,2.484861,-0.04
125,1,1,4.967015,-0.03
125,1,2,12.437186,-0.06
125,1,3,24.856348,-0.07
125,1,4,49.755562,0.02
125,1,5,124.201751,0.00
125,1,6,248.399825,0.02
125,1,7,496.821356,-0.03
160,0,0,496.668827,0.05
160,0,1,992.909500,0.07
160,0,2,2483.235783,-0.04
160,0,3,4907.608952,0.01
160,0,4,9914.760005,0.01
160,0,5,24721.864403,-0.16
160,0,6,49561.631054,-0.35
160,0,7,98569.214182,0.39
160,1,0,2.485649,-0.06
160,1,1,4.966983,-0.02
160,1,2,12.421201,0.00
160,1,3,24.847788,-0.01
160,1,4,49.745989,-0.03
160,1,5,124.080432,-0.05
160,1,6,248.209374,0.00
160,1,7,495.577245,0.03
200,0,0,497.182766,0.08
200,0,1,993.787769,0.06
200,0,2,2484.042097,0.01
200,0,3,4908.700505,0.03
200,0,4,9924.797657,-0.00
200,0,5,24747.922786,-0.01
200,0,6,49464.849469,-0.02
200,0,7,98759.574710,0.07
200,1,0,2.484486,-0.03
200,1,1,4.965744,-0.02
200,1,2,12.434537,-0.05
200,1,3,24.866384,-0.05
200,1,4,49.710588,-0.06
200,1,5,124.222457,-0.09
200,1,6,248.544409,-0.05
200,1,7,495.822433,-0.01
250,0,0,497.333641,0.11
250,0,1,993.638224,0.12
250,0,2,2484.657407,0.03
250,0,3,4910.890977,0.04
250,0,4,9932.024720,0.20
250,0,5,24838.944853,0.28
250,0,6,49560.028672,1.35
250,0,7,99334.463314,0.92
250,1,0,2.483995,-0.03
250,1,1,4.966383,-0.03
250,1,2,12.427137,-0.03
250,1,3,24.836893,-0.03
250,1,4,49.744731,-0.01
250,1,5,124.171620,-0.00
250,1,6,248.417232,-0.06
250,1,7,495.817720,0.01
400,0,0,496.850979,0.09
400,0,1,992.780899,0.14
400,0,2,2481.024928,0.01
400,0,3,4908.873489,0.03
400,0,4,9921.828811,-0.15
400,0,5,24752.014223,-0.16
400,0,6,49699.958870,-0.14
400,0,7,98820.740012,-0.08
400,1,0,2.484278,-0.02
400,1,1,4.965329,0.00
400,1,2,12.438400,-0.05
400,1,3,24.853409,-0.02
400,1,4,49.765449,-0.02
400,1,5,124.152586,-0.07
400,1,6,248.608067,-0.02
400,1,7,495.676594,-0.05
500,0,0,497.279188,0.07
500,0,1,993.165149,0.06
500,0,2,2484.810753,-0.00
500,0,3,4909.231759,-0.01
500,0,4,9928.198315,-0.33
500,0,5,24788.434119,-0.30
500,0,6,49603.197861,-0.24
500,0,7,98884.429105,-0.32
500,1,0,2.485428,-0.02
500,1,1,4.964923,-0.00
500,1,2,12.436753,-0.02
500,1,3,24.851560,0.01
500,1,4,49.729957,-0.00
500,1,5,124.101049,0.03
500,1,6,248.799566,0.01
500,1,7,496.562671,-0.03
625,0,0,497.139168,-0.12
625,0,1,993.849834,-0.07
625,0,2,2481.665047,-0.14
625,0,3,4908.135324,-0.13
625,0,4,9943.166611,-0.53
625,0,5,24797.361385,-0.54
625,0,6,49460.881303,-0.65
625,0,7,99039.379933,-0.62
625,1,0,2.486085,0.02
625,1,1,4.971627,0.02
625,1,2,12.426703,-0.06
625,1,3,24.849495,-0.02
625,1,4,49.819111,-0.01
625,1,5,124.374419,-0.05
625,1,6,249.006815,-0.09
625,1,7,497.572547,-0.05
800,0,0,496.786092,-0.39
800,0,1,992.800777,-0.36
800,0,2,2482.830922,-0.41
800,0,3,4906.856999,-0.41
800,0,4,9922.411259,-0.99
800,0,5,24773.080456,-0.98
800,0,6,49606.797078,-0.86
800,0,7,99020.382301,-0.90
800,1,0,2.488324,0.02
800,1,1,4.967999,-0.02
800,1,2,12.441355,-0.02
800,1,3,24.866737,-0.02
800,1,4,49.816161,-0.04
800,1,5,124.291079,-0.02
800,1,6,248.136010,-0.08
800,1,7,496.278635,-0.04
1000,0,0,496.764820,-0.71
1000,0,1,993.230370,-0.70
1000,0,2,2482.750376,-0.79
1000,0,3,4904.564889,-0.76
1000,0,4,9923.591784,-1.40
1000,0,5,24801.892029,-1.45
1000,0,6,49578.435122,-1.37
1000,0,7,98910.229753,-1.21
1000,1,0,2.480759,0.04
1000,1,1,4.959892,0.04
1000,1,2,12.429281,-0.02
1000,1,3,24.840569,-0.04
1000,1,4,49.789871,-0.10
1000,1,5,124.236943,-0.07
1000,1,6,248.449767,-0.01
1000,1,7,496.706584,-0.05
1250,0,0,496.968659,-1.30
1250,0,1,993.315060,-1.25
1250,0,2,2484.323160,-1.30
1250,0,3,4907.634127,-1.29
1250,0,4,9927.053498,-2.23
1250,0,5,24744.579218,-2.19
1250,0,6,49405.664485,-1.84
1250,0,7,98629.438093,-1.74
1250,1,0,2.482976,0.01
1250,1,1,4.965952,0.03
1250,1,2,12.428405,-0.06
1250,1,3,24.856199,-0.04
1250,1,4,49.753937,-0.04
1250,1,5,124.313968,-0.04
1250,1,6,248.732298,-0.04
1250,1,7,496.434246,0.04
2000,0,0,496.142749,-3.00
2000,0,1,991.899395,-2.96
2000,0,2,2478.682083,-2.93
2000,0,3,4898.428895,-2.90
2000,0,4,9893.454382,-4.15
2000,0,5,24702.487297,-4.07
2000,0,6,49526.656165,-3.94
2000,0,7,98720.704886,-3.77
2000,1,0,2.484681,0.07
2000,1,1,4.966127,0.06
2000,1,2,12.441745,-0.02
2000,1,3,24.871465,-0.02
2000,1,4,49.688347,-0.06
2000,1,5,124.195667,-0.07
2000,1,6,248.708028,-0.08
2000,1,7,496.813808,-0.03
2500,0,0,496.504641,-4.17
2500,0,1,992.794691,-4.12
2500,0,2,2479.367903,-4.03
2500,0,3,4901.295460,-3.99
2500,0,4,9909.566773,-5.31
2500,0,5,24763.213720,-5.20
2500,0,6,49515.063233,-4.96
2500,0,7,98911.515317,-4.83
2500,1,0,2.484577,0.03
2500,1,1,4.969162,0.03
2500,1,2,12.427079,-0.03
2500,1,3,24.856844,0.02
2500,1,4,49.740013,-0.04
2500,1,5,124.176243,-0.09
2500,1,6,248.397365,-0.10
2500,1,7,496.634204,-0.09
3125,0,0,494.454672,-5.46
3125,0,1,988.931317,-5.44
3125,0,2,2470.251534,-5.34
3125,0,3,4885.830393,-5.31
3125,0,4,9870.616820,-6.57
3125,0,5,24629.565544,-6.54
3125,0,6,49267.635369,-6.33
3125,0,7,98321.449179,-6.20
3125,1,0,2.482625,0.06
3125,1,1,4.965256,0.06
3125,1,2,12.431824,-0.02
3125,1,3,24.863692,-0.02
3125,1,4,49.698932,-0.14
3125,1,5,124.319425,-0.08
3125,1,6,248.447898,-0.19
3125,1,7,496.404328,-0.26
4000,0,0,493.085350,-7.13
4000,0,1,986.534668,-7.10
4000,0,2,2462.761411,-7.00
4000,0,3,4873.175415,-6.94
4000,0,4,9838.030583,-8.23
4000,0,5,24555.018726,-8.15
4000,0,6,49297.005625,-7.62
4000,0,7,98432.747485,-7.45
4000,1,0,2.484550,0.11
4000,1,1,4.969644,0.15
4000,1,2,12.436865,-0.09
4000,1,3,24.856362,-0.04
4000,1,4,49.654030,-0.07
4000,1,5,124.130197,-0.04
4000,1,6,248.311575,-0.18
4000,1,7,497.098735,-0.56
5000,0,0,491.406878,-8.85
5000,0,1,983.457964,-8.80
5000,0,2,2455.183030,-8.74
5000,0,3,4865.579809,-8.72
5000,0,4,9801.326382,-9.91
5000,0,5,24485.579624,-9.83
5000,0,6,49107.372711,-9.64
5000,0,7,98075.007780,-9.48
5000,1,0,2.486557,0.14
5000,1,1,4.968245,0.15
5000,1,2,12.432219,-0.04
5000,1,3,24.855735,-0.02
5000,1,4,49.785039,0.06
5000,1,5,124.191280,-0.01
5000,1,6,248.503430,-0.49
5000,1,7,496.317943,-0.99
6250,0,0,487.882378,-10.62
6250,0,1,976.197935,-10.55
6250,0,2,2437.305255,-10.72
6250,0,3,4835.669601,-10.69
6250,0,4,9722.940398,-11.78
6250,0,5,24325.044248,-11.68
6250,0,6,48821.355996,-11.53
6250,0,7,97557.615399,-11.36
6250,1,0,2.484222,0.25
6250,1,1,4.967916,0.25
6250,1,2,12.424118,-0.03
6250,1,3,24.852997,-0.02
6250,1,4,49.767428,-0.03
6250,1,5,124.327388,-0.09
6250,1,6,248.572494,-0.84
6250,1,7,496.656326,-1.42
10000,0,0,475.924716,-14.83
10000,0,1,952.366201,-14.78
10000,0,2,2373.187797,-15.74
10000,0,3,4728.348227,-15.72
10000,0,4,9452.861039,-16.19
10000,0,5,23639.685518,-16.05
10000,0,6,47501.625079,-16.46
10000,0,7,95367.071015,-16.28
10000,1,0,2.484680,0.41
10000,1,1,4.968282,0.37
10000,1,2,12.433807,-0.09
10000,1,3,24.865543,-0.16
10000,1,4,49.711835,-0.23
10000,1,5,124.332254,-0.51
10000,1,6,248.558187,-1.67
10000,1,7,495.886129,-2.88
12500,0,0,463.852521,-16.98
12500,0,1,928.870410,-16.99
12500,0,2,2311.832919,-18.51
12500,0,3,4614.651884,-18.48
12500,0,4,9212.201898,-18.44
12500,0,5,23074.565613,-18.34
12500,0,6,46357.371058,-18.99
12500,0,7,93536.440204,-18.96
12500,1,0,2.483849,0.46
12500,1,1,4.971485,0.43
12500,1,2,12.438207,-0.24
12500,1,3,24.864398,-0.36
12500,1,4,49.692327,-0.36
12500,1,5,124.382852,-0.72
12500,1,6,248.248511,-2.23
12500,1,7,496.216061,-3.75
15625,0,0,451.315362,-19.16
15625,0,1,903.440790,-19.17
15625,0,2,2244.146768,-21.40
15625,0,3,4479.692405,-21.44
15625,0,4,8906.978018,-20.60
15625,0,5,22351.281269,-20.55
15625,0,6,44866.490832,-21.72
15625,0,7,91403.646599,-21.90
15625,1,0,2.482969,0.70
15625,1,1,4.967563,0.69
15625,1,2,12.435362,0.04
15625,1,3,24.852703,-0.08
15625,1,4,49.781970,0.06
15625,1,5,124.452987,-0.41
15625,1,6,248.011772,-2.31
15625,1,7,496.708584,-3.90
25000,0,0,397.008788,-24.64
25000,0,1,795.081185,-24.67
25000,0,2,1955.886827,-28.91
25000,0,3,3913.686185,-28.95
25000,0,4,7691.762328,-25.79
25000,0,5,19418.545581,-25.82
25000,0,6,39099.918411,-28.58
25000,0,7,80270.285196,-29.47
25000,1,0,2.486500,0.88
25000,1,1,4.972462,0.85
25000,1,2,12.427084,-0.30
25000,1,3,24.863489,-0.43
25000,1,4,49.891348,0.51
25000,1,5,124.532122,-0.10
25000,1,6,248.664869,-3.13
25000,1,7,494.056221,-5.86
50000,0,0,291.819863,-29.45
50000,0,1,583.295989,-29.57
50000,0,2,1379.863370,-37.99
50000,0,3,2763.984822,-38.33
50000,0,4,5131.831909,-26.25
50000,0,5,13090.778622,-27.13
50000,0,6,26051.282702,-34.23
50000,0,7,55000.659920,-38.85
50000,1,0,2.491719,1.55
50000,1,1,4.980703,1.52
50000,1,2,12.440740,-0.25
50000,1,3,24.876084,-0.56
50000,1,4,50.174120,2.51
50000,1,5,125.327248,1.17
50000,1,6,247.423882,-5.53
50000,1,7,485.268187,-10.89
62500,0,0,253.707043,-27.94
62500,0,1,507.816791,-28.16
62500,0,2,1169.287236,-38.23
62500,0,3,2345.295234,-38.68
62500,0,4,4262.026880,-20.37
62500,0,5,10879.121090,-21.84
62500,0,6,21268.192774,-30.87
62500,0,7,44635.021944,-37.82
62500,1,0,2.467931,0.97
62500,1,1,4.936400,0.86
62500,1,2,12.430641,0.77
62500,1,3,24.855883,0.24
62500,1,4,50.420244,4.20
62500,1,5,126.084634,2.46
62500,1,6,246.043188,-6.50
62500,1,7,479.783129,-12.67
80000,0,0,220.759222,-24.28
80000,0,1,444.269236,-24.45
80000,0,2,968.966113,-35.41
80000,0,3,1951.611603,-36.64
80000,0,4,3555.634447,-7.54
80000,0,5,9026.343799,-9.91
80000,0,6,17215.054477,-21.25
80000,0,7,35351.468798,-32.06
80000,1,0,2.464535,2.23
80000,1,1,4.928530,2.10
80000,1,2,12.453891,0.80
80000,1,3,24.913884,0.37
80000,1,4,50.903651,6.32
80000,1,5,127.119902,4.33
80000,1,6,244.898979,-6.96
80000,1,7,470.316593,-14.91
100000,0,0,197.136086,-19.36
100000,0,1,393.374696,-19.55
100000,0,2,820.850302,-32.18
100000,0,3,1665.225718,-32.86
100000,0,4,3268.391382,8.99
