frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.08,84.35,0.69,84.23,2,1,1
2,3.078,84.37,0.69,84.33,2,1,1
4,3.08,89.99,0.69,89.94,2,1,1
5,3.078,95.61,0.69,95.52,2,1,1
8,3.078,104.05,0.69,104.0,2,1,1
10,3.078,109.67,0.69,109.6,2,1,1
16,3.078,126.57,0.69,126.55,2,1,1
20,3.078,137.8,0.69,137.79,2,1,1
25,3.08,151.9,0.689,151.79,2,1,1
32,3.08,171.57,0.691,171.49,2,1,1
40,3.079,-165.94,0.69,-165.99,2,1,1
50,3.079,-137.79,0.69,-137.82,2,1,1
80,3.08,-56.22,0.691,-56.24,2,1,1
100,3.079,0.03,0.69,0.01,2,1,1
125,3.079,70.31,0.69,70.28,2,1,1
160,3.08,168.77,0.69,168.73,2,1,1
200,3.079,-81.54,0.69,-81.58,2,1,1
250,3.078,59.06,0.69,59.02,2,1,1
400,3.079,112.49,0.691,112.38,2,1,1
500,3.081,30.94,0.69,30.87,2,1,1
625,3.08,16.88,0.689,16.83,2,1,1
800,3.081,143.4,0.69,143.34,2,1,1
1000,3.08,-19.67,0.691,-19.67,2,1,1
1250,3.079,-42.13,0.69,-42.24,2,1,1
2000,3.077,-118.11,0.69,-118.14,2,1,1
2500,3.078,-160.29,0.689,-160.36,2,1,1
3125,3.091,134.99,0.692,135.01,2,1,1
4000,3.08,50.6,0.691,50.52,2,1,1
5000,3.078,-22.52,0.69,-22.52,2,1,1
6250,3.08,-140.7,0.69,-140.71,2,1,1
10000,3.075,4.98,0.689,4.98,2,1,1
12500,3.076,-110.85,0.689,-111.04,2,1,1
15625,3.078,166.34,0.69,166.58,2,1,1
25000,3.075,49.03,0.689,48.96,2,1,1
50000,3.067,24.75,0.688,24.67,2,1,1
62500,3.063,34.68,0.685,35.51,2,1,1
80000,3.053,-138.13,0.685,-137.59,2,1,1
100000,3.038,-41.06,0.682,-40.87,2,1,1
