frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.084,84.37,0.703,84.39,4,1,1
2,3.085,84.4,0.703,84.28,4,1,1
4,3.083,90.02,0.702,89.96,4,1,1
5,3.084,95.59,0.702,95.68,4,1,1
8,3.083,104.05,0.703,104.03,4,1,1
10,3.084,109.68,0.703,109.58,4,1,1
16,3.082,126.53,0.703,126.47,4,1,1
20,3.084,137.84,0.703,137.82,4,1,1
25,3.084,151.89,0.704,151.79,4,1,1
32,3.086,171.53,0.702,171.47,4,1,1
40,3.085,-165.95,0.702,-165.94,4,1,1
50,3.083,-137.83,0.703,-137.81,4,1,1
80,3.084,-56.23,0.703,-56.18,4,1,1
100,3.083,-0.01,0.703,0.03,4,1,1
125,3.084,70.32,0.703,70.37,4,1,1
160,3.083,168.75,0.704,168.73,4,1,1
200,3.085,-81.51,0.702,-81.61,4,1,1
250,3.084,59.02,0.702,58.95,4,1,1
400,3.086,112.49,0.703,112.48,4,1,1
500,3.083,30.93,0.704,30.94,4,1,1
625,3.085,16.84,0.704,16.84,4,1,1
800,3.086,143.45,0.704,143.39,4,1,1
1000,3.084,-19.69,0.703,-19.75,4,1,1
1250,3.083,-42.18,0.702,-42.12,4,1,1
2000,3.082,-118.11,0.701,-118.15,4,1,1
2500,3.081,-163.09,0.702,-163.08,4,1,1
3125,3.095,134.99,0.705,134.96,4,1,1
4000,3.085,50.61,0.702,50.56,4,1,1
5000,3.084,-30.96,0.704,-30.97,4,1,1
6250,3.083,-135.09,0.703,-135.16,4,1,1
10000,3.082,2.22,0.701,1.84,4,1,1
12500,3.081,-110.66,0.7,-111.29,4,1,1
15625,3.084,166.6,0.703,166.13,4,1,1
25000,3.08,49.32,0.703,48.32,4,1,1
50000,3.075,8.46,0.7,6.66,4,1,1
62500,3.069,35.67,0.698,34.0,4,1,1
80000,3.058,-81.08,0.696,-83.02,4,1,1
100000,3.043,-95.59,0.694,-98.9,4,1,1
