frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.084,84.38,2.317,84.31,5,0,1
2,3.085,84.38,2.316,84.39,5,0,1
4,3.086,90.0,2.32,89.91,5,0,1
5,3.086,95.62,2.318,95.63,5,0,1
8,3.087,104.06,2.318,103.94,5,0,1
10,3.086,109.7,2.319,109.65,5,0,1
16,3.085,126.56,2.316,126.49,5,0,1
20,3.085,137.79,2.317,137.77,5,0,1
25,3.085,151.85,2.318,151.84,5,0,1
32,3.086,171.56,2.319,171.51,5,0,1
40,3.085,-165.92,2.315,-165.99,5,0,1
50,3.086,-137.8,2.293,-138.32,5,0,1
80,3.086,-56.25,2.316,-56.32,5,0,1
100,3.086,0.01,2.317,0.0,5,0,1
125,3.086,70.3,2.32,70.24,5,0,1
160,3.087,168.74,2.312,168.55,5,0,1
200,3.086,-81.56,2.319,-81.59,5,0,1
250,3.086,59.03,2.313,59.15,5,0,1
400,3.086,112.49,2.317,112.38,5,0,1
500,3.084,30.92,2.319,30.76,5,0,1
625,3.086,16.87,2.317,16.56,5,0,1
800,3.085,143.41,2.321,142.87,5,0,1
1000,3.086,-19.66,2.324,-20.55,5,0,1
1250,3.084,-45.01,2.316,-46.25,5,0,1
2000,3.084,-118.1,2.314,-120.69,5,0,1
2500,3.084,-163.12,2.312,-166.69,5,0,1
3125,3.099,132.19,2.315,127.46,5,0,1
4000,3.087,47.81,2.298,41.47,5,0,1
5000,3.085,-25.31,2.294,-33.64,5,0,1
6250,3.085,-129.42,2.274,-140.03,5,0,1
10000,3.084,2.28,2.219,-14.88,5,0,1
12500,3.082,-110.61,2.166,-131.69,5,0,1
15625,3.084,166.72,2.104,141.37,5,0,1
25000,3.082,49.4,1.853,12.4,5,0,1
50000,3.076,8.67,1.298,-48.65,5,0,1
62500,3.069,36.07,1.089,-26.73,5,0,1
80000,3.063,-80.77,0.884,-148.37,5,0,1
100000,3.048,-39.0,0.739,-111.59,5,0,1
