frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.086,84.36,2.571,84.33,1,0,1
2,3.084,84.39,2.573,84.34,1,0,1
4,3.086,90.01,2.572,89.96,1,0,1
5,3.084,95.62,2.573,95.58,1,0,1
8,3.085,104.06,2.574,104.04,1,0,1
10,3.085,109.68,2.574,109.65,1,0,1
16,3.085,126.57,2.574,126.53,1,0,1
20,3.085,137.84,2.574,137.78,1,0,1
25,3.085,151.89,2.575,151.82,1,0,1
32,3.086,171.56,2.574,171.52,1,0,1
40,3.086,-165.92,2.574,-165.96,1,0,1
50,3.083,-137.78,2.575,-137.85,1,0,1
80,3.083,-56.23,2.574,-56.28,1,0,1
100,3.085,-0.03,2.574,-0.04,1,0,1
125,3.085,70.29,2.574,70.28,1,0,1
160,3.085,168.74,2.574,168.72,1,0,1
200,3.084,-81.52,2.574,-81.58,1,0,1
250,3.085,59.04,2.575,59.03,1,0,1
400,3.085,115.31,2.574,115.23,1,0,1
500,3.086,30.94,2.574,30.75,1,0,1
625,3.086,19.69,2.574,19.4,1,0,1
800,3.087,143.43,2.574,142.91,1,0,1
1000,3.086,-19.68,2.576,-20.52,1,0,1
1250,3.085,-45.02,2.572,-46.26,1,0,1
2000,3.084,-118.15,2.569,-120.75,1,0,1
2500,3.083,-163.11,2.567,-166.7,1,0,1
3125,3.096,134.99,2.571,130.25,1,0,1
4000,3.085,53.41,2.554,46.93,1,0,1
5000,3.085,-25.34,2.545,-33.75,1,0,1
6250,3.085,-129.51,2.525,-140.2,1,0,1
10000,3.081,2.18,2.457,-15.13,1,0,1
12500,3.081,-110.69,2.392,-131.88,1,0,1
15625,3.08,166.6,2.319,141.09,1,0,1
25000,3.076,49.22,2.013,12.15,1,0,1
50000,3.065,8.53,1.388,-47.21,1,0,1
62500,3.058,35.91,1.158,-24.37,1,0,1
80000,3.047,-170.93,0.952,124.79,1,0,1
100000,3.035,-72.87,0.771,-140.06,1,0,1
