frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.085,84.35,3.278,84.32,3,0,1
2,3.085,84.37,3.277,84.33,3,0,1
4,3.087,89.97,3.277,89.96,3,0,1
5,3.084,95.6,3.277,95.59,3,0,1
8,3.085,104.04,3.279,104.01,3,0,1
10,3.087,109.66,3.279,109.64,3,0,1
16,3.086,126.57,3.278,126.5,3,0,1
20,3.087,137.8,3.278,137.77,3,0,1
25,3.086,151.84,3.278,151.83,3,0,1
32,3.087,171.55,3.278,171.53,3,0,1
40,3.085,-165.94,3.278,-165.98,3,0,1
50,3.085,-137.81,3.277,-137.91,3,0,1
80,3.084,-56.24,3.278,-56.29,3,0,1
100,3.085,0.0,3.278,-0.02,3,0,1
125,3.085,70.35,3.278,70.26,3,0,1
160,3.086,168.75,3.279,168.72,3,0,1
200,3.086,-81.55,3.279,-81.59,3,0,1
250,3.085,59.09,3.278,59.02,3,0,1
400,3.084,112.51,3.278,112.4,3,0,1
500,3.087,30.92,3.279,30.76,3,0,1
625,3.085,19.7,3.279,19.37,3,0,1
800,3.086,146.24,3.277,145.7,3,0,1
1000,3.088,-19.67,3.278,-20.55,3,0,1
1250,3.084,-42.17,3.275,-43.47,3,0,1
2000,3.085,-118.11,3.271,-120.77,3,0,1
2500,3.083,-160.3,3.268,-163.91,3,0,1
3125,3.096,135.01,3.274,130.2,3,0,1
4000,3.086,50.6,3.255,44.12,3,0,1
5000,3.084,-25.33,3.244,-33.73,3,0,1
6250,3.083,-135.1,3.223,-145.8,3,0,1
10000,3.084,5.07,3.151,-12.21,3,0,1
12500,3.081,-110.61,3.073,-131.77,3,0,1
15625,3.081,166.83,2.979,141.22,3,0,1
25000,3.08,49.45,2.596,12.32,3,0,1
50000,3.073,8.88,1.804,-47.2,3,0,1
62500,3.064,36.64,1.507,-24.51,3,0,1
80000,3.057,-137.05,1.226,157.75,3,0,1
100000,3.044,-39.04,1.017,-107.5,3,0,1
