frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.085,84.37,1.54,84.29,6,0,1
2,3.084,84.39,1.542,84.28,6,0,1
4,3.085,90.0,1.541,89.97,6,0,1
5,3.086,95.61,1.539,95.62,6,0,1
8,3.084,104.06,1.541,103.95,6,0,1
10,3.084,109.68,1.542,109.6,6,0,1
16,3.085,126.57,1.539,126.46,6,0,1
20,3.085,137.77,1.543,137.88,6,0,1
25,3.084,151.89,1.542,151.9,6,0,1
32,3.086,171.55,1.541,171.37,6,0,1
40,3.087,-165.93,1.544,-165.69,6,0,1
50,3.088,-137.78,1.547,-135.77,6,0,1
80,3.085,-56.22,1.534,-56.18,6,0,1
100,3.086,0.0,1.54,-0.05,6,0,1
125,3.087,70.3,1.541,70.22,6,0,1
160,3.085,168.75,1.556,168.34,6,0,1
200,3.087,-81.56,1.534,-81.56,6,0,1
250,3.085,59.05,1.527,59.02,6,0,1
400,3.086,112.48,1.544,112.5,6,0,1
500,3.086,30.92,1.54,30.91,6,0,1
625,3.087,16.9,1.535,16.52,6,0,1
800,3.086,143.42,1.542,142.76,6,0,1
1000,3.087,-19.68,1.541,-20.55,6,0,1
1250,3.084,-44.99,1.538,-46.11,6,0,1
2000,3.085,-118.09,1.535,-120.87,6,0,1
2500,3.082,-160.29,1.538,-163.71,6,0,1
3125,3.099,132.19,1.538,127.68,6,0,1
4000,3.086,50.6,1.532,44.36,6,0,1
5000,3.084,-25.33,1.529,-33.59,6,0,1
6250,3.085,-129.45,1.512,-139.91,6,0,1
10000,3.083,5.09,1.486,-11.99,6,0,1
12500,3.085,-110.61,1.444,-131.44,6,0,1
15625,3.084,166.72,1.41,141.35,6,0,1
25000,3.083,49.37,1.243,11.94,6,0,1
50000,3.076,8.7,0.889,-50.05,6,0,1
62500,3.072,36.11,0.748,-29.33,6,0,1
80000,3.061,-80.79,0.615,-152.15,6,0,1
100000,3.046,-39.0,0.508,-115.37,6,0,1
