frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.079,84.35,1.379,84.32,3,1,1
2,3.077,84.39,1.379,84.34,3,1,1
4,3.08,90.01,1.379,89.92,3,1,1
5,3.079,95.59,1.379,95.6,3,1,1
8,3.079,104.11,1.38,104.04,3,1,1
10,3.08,109.69,1.38,109.65,3,1,1
16,3.079,126.55,1.379,126.52,3,1,1
20,3.078,137.79,1.379,137.81,3,1,1
25,3.077,151.85,1.379,151.84,3,1,1
32,3.081,171.55,1.379,171.52,3,1,1
40,3.078,-165.95,1.379,-165.96,3,1,1
50,3.079,-137.81,1.379,-137.85,3,1,1
80,3.08,-56.25,1.379,-56.27,3,1,1
100,3.078,0.0,1.379,-0.04,3,1,1
125,3.077,70.33,1.379,70.28,3,1,1
160,3.079,168.74,1.379,168.72,3,1,1
200,3.079,-81.54,1.38,-81.6,3,1,1
250,3.079,59.07,1.378,59.03,3,1,1
400,3.08,112.5,1.379,112.48,3,1,1
500,3.079,30.96,1.379,30.89,3,1,1
625,3.08,16.91,1.379,16.84,3,1,1
800,3.08,143.43,1.378,143.4,3,1,1
1000,3.081,-19.66,1.38,-19.75,3,1,1
1250,3.078,-42.18,1.379,-42.2,3,1,1
2000,3.079,-118.13,1.379,-118.16,3,1,1
2500,3.077,-160.3,1.378,-160.31,3,1,1
3125,3.092,134.99,1.386,134.97,3,1,1
4000,3.08,50.63,1.379,50.56,3,1,1
5000,3.079,-25.34,1.378,-25.34,3,1,1
6250,3.077,-137.89,1.378,-137.87,3,1,1
10000,3.077,4.99,1.378,4.88,3,1,1
12500,3.076,-110.88,1.378,-111.14,3,1,1
15625,3.077,166.37,1.378,166.4,3,1,1
25000,3.077,49.02,1.378,48.84,3,1,1
50000,3.069,7.89,1.375,7.57,3,1,1
62500,3.064,34.67,1.371,35.01,3,1,1
80000,3.052,-81.87,1.368,-81.75,3,1,1
100000,3.038,-96.75,1.364,-97.29,3,1,1
