frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.083,84.36,1.375,84.29,6,1,1
2,3.085,84.35,1.376,84.29,6,1,1
4,3.084,90.0,1.375,89.99,6,1,1
5,3.086,95.6,1.377,95.55,6,1,1
8,3.084,104.06,1.372,103.99,6,1,1
10,3.084,109.72,1.375,109.73,6,1,1
16,3.086,126.55,1.372,126.5,6,1,1
20,3.085,137.81,1.378,137.79,6,1,1
25,3.085,151.87,1.379,151.9,6,1,1
32,3.085,171.55,1.375,171.59,6,1,1
40,3.085,-165.91,1.377,-165.96,6,1,1
50,3.086,-137.81,1.376,-137.95,6,1,1
80,3.086,-56.24,1.378,-56.21,6,1,1
100,3.086,0.01,1.376,-0.11,6,1,1
125,3.086,70.31,1.374,70.41,6,1,1
160,3.085,168.74,1.374,168.72,6,1,1
200,3.087,-81.56,1.378,-81.63,6,1,1
250,3.084,59.05,1.377,58.91,6,1,1
400,3.084,112.53,1.377,112.53,6,1,1
500,3.086,30.9,1.378,30.9,6,1,1
625,3.087,19.69,1.379,19.68,6,1,1
800,3.086,143.42,1.373,143.44,6,1,1
1000,3.087,-19.67,1.378,-19.65,6,1,1
1250,3.084,-42.14,1.379,-42.02,6,1,1
2000,3.084,-118.14,1.376,-118.17,6,1,1
2500,3.083,-163.1,1.373,-163.12,6,1,1
3125,3.097,134.98,1.381,134.79,6,1,1
4000,3.085,47.8,1.375,47.66,6,1,1
5000,3.086,-22.5,1.376,-22.96,6,1,1
6250,3.084,-126.63,1.375,-127.27,6,1,1
10000,3.084,5.09,1.375,3.58,6,1,1
12500,3.082,-110.57,1.375,-112.72,6,1,1
15625,3.082,166.87,1.373,164.48,6,1,1
25000,3.082,49.44,1.377,45.83,6,1,1
50000,3.076,8.82,1.358,1.65,6,1,1
62500,3.069,36.52,1.35,27.47,6,1,1
80000,3.059,-137.19,1.342,-147.66,6,1,1
100000,3.047,-72.86,1.316,-87.21,6,1,1
