frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.085,84.38,3.076,84.35,7,0,1
2,3.084,84.34,3.066,84.35,7,0,1
4,3.084,90.0,3.074,90.02,7,0,1
5,3.084,95.61,3.075,95.65,7,0,1
8,3.085,104.06,3.066,104.1,7,0,1
10,3.086,109.69,3.077,109.76,7,0,1
16,3.084,126.56,3.072,126.59,7,0,1
20,3.085,137.82,3.074,137.86,7,0,1
25,3.085,151.88,3.075,151.92,7,0,1
32,3.087,171.57,3.071,171.47,7,0,1
40,3.086,-165.93,3.082,-166.03,7,0,1
50,3.086,-137.79,3.153,-136.42,7,0,1
80,3.085,-56.21,3.063,-56.32,7,0,1
100,3.086,-0.01,3.069,-0.03,7,0,1
125,3.085,70.35,3.067,70.2,7,0,1
160,3.086,168.75,3.081,169.45,7,0,1
200,3.086,-81.56,3.076,-81.43,7,0,1
250,3.085,59.04,3.099,59.02,7,0,1
400,3.087,115.3,3.072,115.17,7,0,1
500,3.088,30.93,3.075,30.68,7,0,1
625,3.085,19.68,3.084,19.24,7,0,1
800,3.086,143.45,3.065,142.86,7,0,1
1000,3.088,-19.69,3.072,-20.29,7,0,1
1250,3.083,-42.2,3.073,-43.34,7,0,1
2000,3.086,-118.09,3.069,-120.46,7,0,1
2500,3.081,-165.93,3.059,-169.11,7,0,1
3125,3.097,135.0,3.073,130.44,7,0,1
4000,3.086,50.61,3.054,44.5,7,0,1
5000,3.085,-25.32,3.047,-33.22,7,0,1
6250,3.086,-129.47,3.034,-139.84,7,0,1
10000,3.085,2.27,2.982,-14.61,7,0,1
12500,3.082,-110.58,2.913,-131.27,7,0,1
15625,3.085,166.73,2.862,141.33,7,0,1
25000,3.081,49.38,2.567,11.2,7,0,1
50000,3.076,8.69,1.885,-54.76,7,0,1
62500,3.069,36.08,1.574,-35.67,7,0,1
80000,3.06,-137.01,1.24,140.37,7,0,1
100000,3.05,-73.21,0.991,-162.46,7,0,1
