frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.083,84.36,0.703,84.26,4,1,1
2,3.084,84.36,0.703,84.29,4,1,1
4,3.084,90.01,0.703,89.94,4,1,1
5,3.083,95.61,0.703,95.58,4,1,1
8,3.083,104.06,0.702,104.05,4,1,1
10,3.084,109.69,0.703,109.56,4,1,1
16,3.085,126.53,0.703,126.5,4,1,1
20,3.085,137.83,0.703,137.78,4,1,1
25,3.083,151.87,0.703,151.72,4,1,1
32,3.084,171.57,0.702,171.58,4,1,1
40,3.085,-165.92,0.702,-165.9,4,1,1
50,3.085,-137.79,0.703,-137.87,4,1,1
80,3.084,-56.25,0.703,-56.21,4,1,1
100,3.085,-0.01,0.703,-0.03,4,1,1
125,3.084,70.31,0.703,70.32,4,1,1
160,3.085,168.76,0.703,168.68,4,1,1
200,3.085,-81.53,0.703,-81.57,4,1,1
250,3.085,59.08,0.704,59.07,4,1,1
400,3.083,115.29,0.704,115.24,4,1,1
500,3.085,30.93,0.703,30.85,4,1,1
625,3.084,16.87,0.702,16.89,4,1,1
800,3.086,143.43,0.704,143.37,4,1,1
1000,3.085,-19.71,0.703,-19.78,4,1,1
1250,3.082,-45.01,0.702,-44.97,4,1,1
2000,3.083,-120.92,0.702,-121.03,4,1,1
2500,3.083,-165.93,0.703,-165.91,4,1,1
3125,3.095,137.81,0.705,137.7,4,1,1
4000,3.083,47.84,0.702,47.86,4,1,1
5000,3.084,-22.52,0.702,-22.41,4,1,1
6250,3.082,-123.81,0.702,-123.84,4,1,1
10000,3.082,2.26,0.703,1.83,4,1,1
12500,3.082,-110.68,0.702,-111.42,4,1,1
15625,3.083,166.64,0.702,166.15,4,1,1
25000,3.083,49.33,0.702,48.53,4,1,1
50000,3.076,8.52,0.7,6.75,4,1,1
62500,3.068,35.65,0.698,34.05,4,1,1
80000,3.059,-81.1,0.696,-83.04,4,1,1
100000,3.045,-95.61,0.695,-99.08,4,1,1
