frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.085,84.39,2.74,84.34,7,1,1
2,3.084,84.34,2.746,84.34,7,1,1
4,3.085,89.97,2.743,89.87,7,1,1
5,3.085,95.62,2.744,95.55,7,1,1
8,3.083,104.06,2.743,103.94,7,1,1
10,3.086,109.7,2.746,109.57,7,1,1
16,3.085,126.57,2.749,126.57,7,1,1
20,3.086,137.82,2.746,137.8,7,1,1
25,3.086,151.9,2.748,151.88,7,1,1
32,3.084,171.57,2.748,171.53,7,1,1
40,3.086,-165.93,2.742,-165.94,7,1,1
50,3.084,-137.79,2.746,-137.76,7,1,1
80,3.085,-56.23,2.746,-56.4,7,1,1
100,3.085,0.01,2.744,-0.09,7,1,1
125,3.084,70.31,2.749,70.32,7,1,1
160,3.087,168.72,2.746,168.73,7,1,1
200,3.085,-81.55,2.737,-81.57,7,1,1
250,3.085,59.07,2.746,59.16,7,1,1
400,3.085,115.31,2.741,115.22,7,1,1
500,3.085,30.95,2.751,30.97,7,1,1
625,3.084,16.87,2.751,16.94,7,1,1
800,3.086,143.43,2.749,143.41,7,1,1
1000,3.086,-19.66,2.751,-19.69,7,1,1
1250,3.084,-42.14,2.75,-42.09,7,1,1
2000,3.085,-120.94,2.749,-120.91,7,1,1
2500,3.084,-163.13,2.745,-163.2,7,1,1
3125,3.095,135.0,2.755,134.74,7,1,1
4000,3.085,53.44,2.752,52.99,7,1,1
5000,3.084,-30.91,2.749,-31.75,7,1,1
6250,3.083,-137.86,2.751,-139.23,7,1,1
10000,3.083,5.06,2.748,2.32,7,1,1
12500,3.081,-110.6,2.742,-114.67,7,1,1
15625,3.082,166.68,2.75,162.74,7,1,1
25000,3.083,49.36,2.74,43.02,7,1,1
50000,3.075,8.59,2.673,-4.29,7,1,1
62500,3.068,35.89,2.634,20.78,7,1,1
80000,3.057,-80.92,2.574,-99.5,7,1,1
100000,3.039,-72.85,2.481,-97.02,7,1,1
