frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.048,84.37,0.767,84.37,0,1,1
2,3.049,84.34,0.768,84.34,0,1,1
4,3.049,90.0,0.768,89.95,0,1,1
5,3.047,95.6,0.768,95.57,0,1,1
8,3.05,104.07,0.768,103.99,0,1,1
10,3.048,109.71,0.768,109.64,0,1,1
16,3.049,126.53,0.768,126.48,0,1,1
20,3.048,137.83,0.768,137.75,0,1,1
25,3.047,151.86,0.768,151.83,0,1,1
32,3.049,171.57,0.768,171.52,0,1,1
40,3.048,-165.96,0.768,-165.93,0,1,1
50,3.048,-137.8,0.768,-137.84,0,1,1
80,3.049,-56.27,0.768,-56.31,0,1,1
100,3.048,-0.02,0.768,0.01,0,1,1
125,3.048,70.28,0.768,70.25,0,1,1
160,3.048,168.77,0.768,168.72,0,1,1
200,3.049,-81.52,0.768,-81.59,0,1,1
250,3.051,59.05,0.768,59.04,0,1,1
400,3.05,112.5,0.768,112.42,0,1,1
500,3.05,30.94,0.769,30.86,0,1,1
625,3.049,19.69,0.767,19.7,0,1,1
800,3.047,143.43,0.768,143.48,0,1,1
1000,3.05,-19.69,0.768,-19.71,0,1,1
1250,3.047,-45.0,0.767,-45.03,0,1,1
2000,3.047,-120.97,0.767,-120.99,0,1,1
2500,3.045,-160.31,0.766,-160.34,0,1,1
3125,3.063,135.01,0.771,134.92,0,1,1
4000,3.049,50.63,0.768,50.57,0,1,1
5000,3.045,-22.57,0.768,-22.6,0,1,1
6250,3.047,-140.96,0.767,-140.95,0,1,1
10000,3.045,1.38,0.767,1.47,0,1,1
12500,3.044,-111.88,0.767,-111.79,0,1,1
15625,3.045,165.3,0.766,165.58,0,1,1
25000,3.043,47.37,0.766,47.58,0,1,1
50000,3.027,4.65,0.762,5.16,0,1,1
62500,3.023,30.71,0.76,31.89,0,1,1
80000,3.003,-176.82,0.756,-175.57,0,1,1
100000,2.975,-80.7,0.75,-79.55,0,1,1
