frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.049,84.35,1.534,84.34,1,1,1
2,3.05,84.38,1.534,84.3,1,1,1
4,3.048,89.99,1.536,89.94,1,1,1
5,3.049,95.61,1.535,95.6,1,1,1
8,3.049,104.05,1.535,104.02,1,1,1
10,3.048,109.68,1.534,109.64,1,1,1
16,3.046,126.55,1.534,126.52,1,1,1
20,3.048,137.8,1.534,137.75,1,1,1
25,3.049,151.87,1.534,151.82,1,1,1
32,3.048,171.58,1.535,171.53,1,1,1
40,3.048,-165.92,1.534,-165.95,1,1,1
50,3.047,-137.81,1.534,-137.85,1,1,1
80,3.047,-56.22,1.535,-56.27,1,1,1
100,3.049,0.0,1.535,0.0,1,1,1
125,3.049,70.28,1.535,70.28,1,1,1
160,3.048,168.74,1.535,168.69,1,1,1
200,3.048,-81.56,1.534,-81.58,1,1,1
250,3.048,59.05,1.535,59.04,1,1,1
400,3.048,115.33,1.534,115.28,1,1,1
500,3.049,30.89,1.535,30.89,1,1,1
625,3.049,16.88,1.536,16.86,1,1,1
800,3.05,143.44,1.535,143.38,1,1,1
1000,3.05,-19.7,1.536,-19.7,1,1,1
1250,3.047,-42.14,1.534,-42.22,1,1,1
2000,3.047,-118.12,1.534,-118.13,1,1,1
2500,3.045,-160.31,1.533,-160.34,1,1,1
3125,3.061,135.02,1.541,134.98,1,1,1
4000,3.049,50.6,1.535,50.56,1,1,1
5000,3.047,-25.41,1.534,-25.41,1,1,1
6250,3.046,-140.93,1.534,-140.89,1,1,1
10000,3.045,1.48,1.533,1.53,1,1,1
12500,3.045,-111.84,1.533,-111.78,1,1,1
15625,3.045,173.9,1.533,174.12,1,1,1
25000,3.041,47.5,1.532,47.69,1,1,1
50000,3.03,4.88,1.524,5.36,1,1,1
62500,3.024,31.19,1.52,32.23,1,1,1
80000,3.003,-131.73,1.511,-130.63,1,1,1
100000,2.976,-81.25,1.502,-80.28,1,1,1
