frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.086,84.39,3.074,84.42,7,0,1
2,3.085,84.38,3.07,84.32,7,0,1
4,3.085,89.98,3.075,89.94,7,0,1
5,3.085,95.63,3.07,95.69,7,0,1
8,3.085,104.03,3.071,104.05,7,0,1
10,3.086,109.73,3.074,109.69,7,0,1
16,3.085,126.54,3.074,126.52,7,0,1
20,3.085,137.83,3.067,137.74,7,0,1
25,3.086,151.88,3.071,151.91,7,0,1
32,3.084,171.52,3.073,171.65,7,0,1
40,3.085,-165.93,3.084,-165.94,7,0,1
50,3.085,-137.84,3.104,-136.31,7,0,1
80,3.086,-56.24,3.064,-56.34,7,0,1
100,3.083,0.04,3.072,-0.04,7,0,1
125,3.086,70.33,3.076,70.21,7,0,1
160,3.085,168.75,3.062,169.44,7,0,1
200,3.085,-81.56,3.082,-81.42,7,0,1
250,3.085,59.07,3.074,58.6,7,0,1
400,3.085,115.29,3.08,115.27,7,0,1
500,3.086,30.96,3.07,30.79,7,0,1
625,3.086,16.87,3.071,16.61,7,0,1
800,3.088,143.41,3.077,142.89,7,0,1
1000,3.085,-19.69,3.077,-20.35,7,0,1
1250,3.084,-42.17,3.07,-43.24,7,0,1
2000,3.085,-120.91,3.061,-123.23,7,0,1
2500,3.084,-160.28,3.064,-163.71,7,0,1
3125,3.097,132.2,3.076,127.61,7,0,1
4000,3.086,53.43,3.058,47.35,7,0,1
5000,3.085,-25.3,3.054,-33.57,7,0,1
6250,3.084,-129.42,3.03,-139.8,7,0,1
10000,3.083,2.26,2.972,-14.51,7,0,1
12500,3.083,-110.6,2.926,-131.62,7,0,1
15625,3.083,166.73,2.871,141.29,7,0,1
25000,3.085,49.41,2.56,11.02,7,0,1
50000,3.077,8.69,1.875,-54.8,7,0,1
62500,3.069,36.09,1.569,-36.03,7,0,1
80000,3.06,-170.74,1.291,107.22,7,0,1
100000,3.048,-38.98,0.997,-127.71,7,0,1
