frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.084,84.35,1.375,84.32,6,1,1
2,3.086,84.37,1.373,84.44,6,1,1
4,3.086,90.02,1.378,90.03,6,1,1
5,3.085,95.61,1.375,95.54,6,1,1
8,3.085,104.05,1.376,104.01,6,1,1
10,3.087,109.64,1.378,109.54,6,1,1
16,3.084,126.56,1.377,126.61,6,1,1
20,3.084,137.79,1.374,137.78,6,1,1
25,3.086,151.83,1.377,151.84,6,1,1
32,3.084,171.56,1.378,171.5,6,1,1
40,3.085,-165.94,1.379,-165.92,6,1,1
50,3.085,-137.8,1.373,-137.83,6,1,1
80,3.083,-56.25,1.375,-56.39,6,1,1
100,3.086,-0.01,1.376,-0.08,6,1,1
125,3.086,70.3,1.378,70.23,6,1,1
160,3.086,168.75,1.373,168.76,6,1,1
200,3.085,-81.57,1.376,-81.59,6,1,1
250,3.085,59.1,1.374,59.05,6,1,1
400,3.084,112.52,1.377,112.54,6,1,1
500,3.085,30.94,1.377,30.91,6,1,1
625,3.087,16.9,1.377,16.91,6,1,1
800,3.087,143.44,1.375,143.29,6,1,1
1000,3.088,-19.68,1.377,-19.66,6,1,1
1250,3.085,-42.17,1.376,-42.2,6,1,1
2000,3.085,-118.11,1.376,-118.14,6,1,1
2500,3.083,-160.3,1.372,-160.35,6,1,1
3125,3.096,137.8,1.384,137.75,6,1,1
4000,3.087,50.61,1.373,50.6,6,1,1
5000,3.085,-30.94,1.376,-31.29,6,1,1
6250,3.084,-140.7,1.374,-141.54,6,1,1
10000,3.083,5.12,1.372,3.47,6,1,1
12500,3.084,-110.58,1.372,-112.81,6,1,1
15625,3.082,166.89,1.374,164.45,6,1,1
25000,3.083,49.46,1.375,46.01,6,1,1
50000,3.075,8.77,1.363,1.52,6,1,1
62500,3.067,36.51,1.352,27.52,6,1,1
80000,3.058,-137.2,1.337,-147.86,6,1,1
100000,3.049,-72.86,1.318,-87.33,6,1,1
