frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.086,84.37,2.319,84.32,5,0,1
2,3.086,84.33,2.316,84.29,5,0,1
4,3.086,89.99,2.316,89.92,5,0,1
5,3.086,95.61,2.318,95.54,5,0,1
8,3.085,104.07,2.317,104.11,5,0,1
10,3.087,109.68,2.318,109.65,5,0,1
16,3.085,126.55,2.321,126.49,5,0,1
20,3.085,137.79,2.319,137.72,5,0,1
25,3.086,151.89,2.319,151.91,5,0,1
32,3.086,171.55,2.317,171.49,5,0,1
40,3.086,-165.93,2.321,-166.01,5,0,1
50,3.086,-137.8,2.351,-138.05,5,0,1
80,3.084,-56.24,2.316,-56.28,5,0,1
100,3.085,0.01,2.32,-0.04,5,0,1
125,3.085,70.32,2.318,70.28,5,0,1
160,3.084,168.76,2.325,168.56,5,0,1
200,3.086,-81.58,2.317,-81.65,5,0,1
250,3.086,59.07,2.324,58.96,5,0,1
400,3.087,115.27,2.316,115.25,5,0,1
500,3.086,30.92,2.321,30.73,5,0,1
625,3.087,16.87,2.319,16.54,5,0,1
800,3.088,146.24,2.315,145.69,5,0,1
1000,3.086,-19.67,2.321,-20.48,5,0,1
1250,3.085,-45.02,2.313,-46.19,5,0,1
2000,3.083,-118.1,2.314,-120.58,5,0,1
2500,3.083,-163.12,2.313,-166.59,5,0,1
3125,3.097,135.02,2.314,130.28,5,0,1
4000,3.087,53.46,2.3,47.08,5,0,1
5000,3.086,-25.33,2.293,-33.63,5,0,1
6250,3.084,-129.45,2.277,-140.0,5,0,1
10000,3.084,2.26,2.221,-14.95,5,0,1
12500,3.083,-110.63,2.165,-131.68,5,0,1
15625,3.083,166.74,2.106,141.29,5,0,1
25000,3.083,49.42,1.85,12.19,5,0,1
50000,3.077,8.68,1.3,-48.7,5,0,1
62500,3.069,36.09,1.091,-26.65,5,0,1
80000,3.062,-80.78,0.891,-148.58,5,0,1
100000,3.047,-39.0,0.741,-111.46,5,0,1
