frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.086,84.36,3.283,84.32,3,0,1
2,3.086,84.37,3.284,84.33,3,0,1
4,3.087,90.02,3.284,89.97,3,0,1
5,3.085,95.6,3.285,95.59,3,0,1
8,3.086,104.08,3.286,104.04,3,0,1
10,3.086,109.68,3.286,109.68,3,0,1
16,3.086,126.56,3.287,126.52,3,0,1
20,3.086,137.78,3.288,137.8,3,0,1
25,3.085,151.84,3.287,151.86,3,0,1
32,3.087,171.56,3.287,171.54,3,0,1
40,3.086,-165.92,3.287,-165.95,3,0,1
50,3.086,-137.8,3.282,-137.82,3,0,1
80,3.086,-56.22,3.287,-56.26,3,0,1
100,3.086,0.0,3.287,-0.03,3,0,1
125,3.087,70.29,3.287,70.28,3,0,1
160,3.087,168.75,3.286,168.72,3,0,1
200,3.086,-81.56,3.287,-81.59,3,0,1
250,3.085,59.07,3.286,59.04,3,0,1
400,3.085,112.51,3.287,112.41,3,0,1
500,3.085,30.93,3.287,30.8,3,0,1
625,3.087,16.89,3.288,16.59,3,0,1
800,3.088,143.45,3.286,142.92,3,0,1
1000,3.087,-19.71,3.289,-20.5,3,0,1
1250,3.084,-42.19,3.284,-43.41,3,0,1
2000,3.086,-118.12,3.282,-120.69,3,0,1
2500,3.082,-160.32,3.279,-163.83,3,0,1
3125,3.097,134.97,3.284,130.28,3,0,1
4000,3.087,50.62,3.267,44.21,3,0,1
5000,3.084,-25.36,3.258,-33.7,3,0,1
6250,3.082,-137.87,3.238,-148.58,3,0,1
10000,3.082,5.07,3.165,-12.24,3,0,1
12500,3.082,-110.62,3.085,-131.83,3,0,1
15625,3.084,166.68,2.994,141.12,3,0,1
25000,3.08,49.37,2.607,12.17,3,0,1
50000,3.073,25.52,1.798,-30.77,3,0,1
62500,3.066,36.02,1.509,-24.94,3,0,1
80000,3.058,-137.07,1.229,157.66,3,0,1
100000,3.044,-39.55,1.018,-108.16,3,0,1
