frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.083,84.39,0.703,84.24,4,1,1
2,3.084,84.4,0.702,84.21,4,1,1
4,3.084,90.0,0.702,90.01,4,1,1
5,3.083,95.6,0.701,95.54,4,1,1
8,3.084,104.06,0.702,104.07,4,1,1
10,3.083,109.69,0.702,109.66,4,1,1
16,3.084,126.56,0.702,126.45,4,1,1
20,3.084,137.8,0.701,137.76,4,1,1
25,3.085,151.88,0.702,151.94,4,1,1
32,3.084,171.56,0.702,171.47,4,1,1
40,3.083,-165.93,0.703,-165.9,4,1,1
50,3.084,-137.8,0.702,-137.82,4,1,1
80,3.083,-56.24,0.702,-56.27,4,1,1
100,3.084,-0.01,0.703,-0.09,4,1,1
125,3.084,70.28,0.703,70.24,4,1,1
160,3.084,168.77,0.702,168.75,4,1,1
200,3.085,-81.55,0.703,-81.58,4,1,1
250,3.084,59.07,0.703,59.12,4,1,1
400,3.083,115.28,0.702,115.23,4,1,1
500,3.084,30.95,0.702,30.91,4,1,1
625,3.084,19.69,0.703,19.63,4,1,1
800,3.085,143.4,0.702,143.4,4,1,1
1000,3.086,-19.67,0.703,-19.72,4,1,1
1250,3.082,-42.18,0.702,-42.31,4,1,1
2000,3.083,-118.13,0.702,-118.13,4,1,1
2500,3.082,-160.3,0.702,-160.36,4,1,1
3125,3.098,132.21,0.705,132.11,4,1,1
4000,3.083,47.81,0.701,47.75,4,1,1
5000,3.083,-25.3,0.703,-25.2,4,1,1
6250,3.082,-129.41,0.703,-129.48,4,1,1
10000,3.08,5.05,0.701,4.66,4,1,1
12500,3.082,-110.67,0.702,-111.37,4,1,1
15625,3.082,166.59,0.702,166.09,4,1,1
25000,3.08,49.3,0.703,48.42,4,1,1
50000,3.076,8.51,0.699,6.83,4,1,1
62500,3.068,35.71,0.698,34.04,4,1,1
80000,3.059,-81.13,0.698,-83.04,4,1,1
100000,3.043,-95.62,0.693,-99.06,4,1,1
