frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.088,84.37,0.928,84.34,4,0,1
2,3.087,84.36,0.929,84.38,4,0,1
4,3.085,89.99,0.928,89.94,4,0,1
5,3.087,95.62,0.929,95.57,4,0,1
8,3.087,104.06,0.929,104.0,4,0,1
10,3.085,109.7,0.928,109.62,4,0,1
16,3.087,126.58,0.929,126.51,4,0,1
20,3.085,137.82,0.929,137.77,4,0,1
25,3.087,151.86,0.929,151.87,4,0,1
32,3.085,171.54,0.928,171.6,4,0,1
40,3.086,-165.93,0.929,-166.02,4,0,1
50,3.084,-137.83,0.938,-138.45,4,0,1
80,3.086,-56.27,0.929,-56.25,4,0,1
100,3.085,-0.01,0.929,-0.08,4,0,1
125,3.086,70.32,0.929,70.31,4,0,1
160,3.085,168.77,0.929,168.88,4,0,1
200,3.084,-81.57,0.93,-81.57,4,0,1
250,3.086,59.05,0.927,58.87,4,0,1
400,3.085,112.49,0.929,112.42,4,0,1
500,3.086,30.91,0.929,30.74,4,0,1
625,3.087,16.89,0.931,16.62,4,0,1
800,3.088,143.45,0.928,142.78,4,0,1
1000,3.087,-19.67,0.93,-20.52,4,0,1
1250,3.085,-42.19,0.928,-43.48,4,0,1
2000,3.084,-118.15,0.926,-120.72,4,0,1
2500,3.084,-160.29,0.925,-163.89,4,0,1
3125,3.099,135.03,0.927,130.27,4,0,1
4000,3.088,50.61,0.921,44.2,4,0,1
5000,3.085,-22.51,0.917,-30.89,4,0,1
6250,3.084,-140.7,0.91,-151.43,4,0,1
10000,3.083,2.25,0.887,-14.99,4,0,1
12500,3.084,-110.62,0.864,-131.77,4,0,1
15625,3.084,166.73,0.838,141.21,4,0,1
25000,3.083,49.37,0.73,12.32,4,0,1
50000,3.079,8.65,0.508,-47.68,4,0,1
62500,3.069,36.07,0.427,-25.24,4,0,1
80000,3.059,-137.05,0.35,157.01,4,0,1
100000,3.048,-73.21,0.287,-142.56,4,0,1
