frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.08,84.36,1.38,84.34,3,1,1
2,3.079,84.36,1.379,84.29,3,1,1
4,3.077,90.01,1.378,89.93,3,1,1
5,3.079,95.62,1.379,95.54,3,1,1
8,3.079,104.07,1.379,104.03,3,1,1
10,3.079,109.68,1.379,109.63,3,1,1
16,3.079,126.57,1.379,126.48,3,1,1
20,3.079,137.8,1.378,137.76,3,1,1
25,3.078,151.87,1.379,151.86,3,1,1
32,3.08,171.55,1.38,171.49,3,1,1
40,3.082,-165.92,1.379,-166.01,3,1,1
50,3.08,-137.79,1.378,-137.85,3,1,1
80,3.077,-56.24,1.379,-56.25,3,1,1
100,3.08,0.02,1.379,-0.02,3,1,1
125,3.078,70.31,1.379,70.25,3,1,1
160,3.079,168.75,1.379,168.73,3,1,1
200,3.079,-81.54,1.379,-81.57,3,1,1
250,3.079,59.05,1.379,59.06,3,1,1
400,3.079,115.32,1.38,115.28,3,1,1
500,3.08,30.93,1.379,30.92,3,1,1
625,3.078,16.88,1.38,16.82,3,1,1
800,3.079,143.43,1.379,143.4,3,1,1
1000,3.081,-19.68,1.38,-19.73,3,1,1
1250,3.079,-45.01,1.379,-45.04,3,1,1
2000,3.077,-118.13,1.379,-118.15,3,1,1
2500,3.077,-163.13,1.379,-163.15,3,1,1
3125,3.09,137.8,1.385,137.78,3,1,1
4000,3.081,47.82,1.38,47.79,3,1,1
5000,3.079,-22.51,1.38,-22.52,3,1,1
6250,3.077,-140.71,1.378,-140.68,3,1,1
10000,3.077,2.18,1.378,2.08,3,1,1
12500,3.076,-110.85,1.379,-111.14,3,1,1
15625,3.076,166.34,1.378,166.42,3,1,1
25000,3.077,49.01,1.38,48.79,3,1,1
50000,3.069,7.87,1.376,7.57,3,1,1
62500,3.065,34.68,1.372,34.99,3,1,1
80000,3.053,-138.13,1.368,-138.04,3,1,1
100000,3.036,-41.03,1.364,-41.58,3,1,1
