frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.085,84.34,1.659,84.33,2,0,1
2,3.085,84.38,1.66,84.32,2,0,1
4,3.086,90.02,1.66,89.96,2,0,1
5,3.086,95.62,1.661,95.59,2,0,1
8,3.086,104.03,1.66,103.99,2,0,1
10,3.085,109.69,1.66,109.64,2,0,1
16,3.085,126.54,1.66,126.55,2,0,1
20,3.086,137.82,1.66,137.78,2,0,1
25,3.084,151.84,1.66,151.86,2,0,1
32,3.085,171.58,1.659,171.53,2,0,1
40,3.086,-165.93,1.66,-165.99,2,0,1
50,3.084,-137.77,1.661,-137.9,2,0,1
80,3.086,-56.25,1.66,-56.31,2,0,1
100,3.085,-0.01,1.659,-0.05,2,0,1
125,3.085,70.3,1.66,70.28,2,0,1
160,3.086,168.75,1.66,168.7,2,0,1
200,3.086,-81.55,1.66,-81.58,2,0,1
250,3.085,59.04,1.66,59.01,2,0,1
400,3.086,112.51,1.659,112.41,2,0,1
500,3.086,30.91,1.661,30.73,2,0,1
625,3.089,16.89,1.66,16.55,2,0,1
800,3.087,143.41,1.66,142.9,2,0,1
1000,3.086,-19.65,1.661,-20.51,2,0,1
1250,3.082,-44.97,1.658,-46.28,2,0,1
2000,3.084,-118.11,1.656,-120.76,2,0,1
2500,3.084,-163.11,1.655,-166.74,2,0,1
3125,3.097,134.99,1.657,130.2,2,0,1
4000,3.087,50.63,1.646,44.12,2,0,1
5000,3.086,-25.33,1.64,-33.75,2,0,1
6250,3.083,-129.45,1.628,-140.22,2,0,1
10000,3.083,2.23,1.584,-15.09,2,0,1
12500,3.083,-110.62,1.541,-131.85,2,0,1
15625,3.085,166.73,1.496,141.14,2,0,1
25000,3.083,49.36,1.3,12.17,2,0,1
50000,3.074,8.63,0.9,-47.18,2,0,1
62500,3.067,36.04,0.752,-24.44,2,0,1
80000,3.058,-80.78,0.61,-144.52,2,0,1
100000,3.044,-95.29,0.496,-163.31,2,0,1
