frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.08,84.34,1.378,84.3,3,1,1
2,3.079,84.39,1.379,84.31,3,1,1
4,3.078,90.04,1.38,89.98,3,1,1
5,3.08,95.6,1.378,95.58,3,1,1
8,3.079,104.1,1.379,104.01,3,1,1
10,3.078,109.71,1.379,109.65,3,1,1
16,3.078,126.55,1.379,126.53,3,1,1
20,3.078,137.83,1.38,137.79,3,1,1
25,3.078,151.87,1.38,151.82,3,1,1
32,3.079,171.57,1.379,171.5,3,1,1
40,3.079,-165.93,1.379,-166.0,3,1,1
50,3.078,-137.82,1.379,-137.84,3,1,1
80,3.082,-56.25,1.379,-56.27,3,1,1
100,3.078,0.02,1.379,-0.02,3,1,1
125,3.079,70.32,1.379,70.26,3,1,1
160,3.079,168.73,1.378,168.72,3,1,1
200,3.077,-81.57,1.379,-81.62,3,1,1
250,3.079,59.07,1.379,59.03,3,1,1
400,3.08,112.51,1.38,112.46,3,1,1
500,3.078,30.95,1.379,30.92,3,1,1
625,3.08,19.67,1.379,19.66,3,1,1
800,3.079,146.27,1.379,146.21,3,1,1
1000,3.079,-19.7,1.379,-19.73,3,1,1
1250,3.077,-42.17,1.379,-42.22,3,1,1
2000,3.078,-118.12,1.38,-118.16,3,1,1
2500,3.076,-160.32,1.377,-160.33,3,1,1
3125,3.091,134.98,1.385,134.95,3,1,1
4000,3.079,50.61,1.379,50.58,3,1,1
5000,3.078,-25.33,1.379,-25.35,3,1,1
6250,3.078,-137.85,1.379,-137.88,3,1,1
10000,3.077,4.99,1.379,4.88,3,1,1
12500,3.077,-110.88,1.379,-111.16,3,1,1
15625,3.078,166.34,1.379,166.43,3,1,1
25000,3.076,49.01,1.378,48.84,3,1,1
50000,3.07,7.92,1.375,7.57,3,1,1
62500,3.062,34.69,1.371,35.04,3,1,1
80000,3.053,-81.88,1.369,-81.73,3,1,1
100000,3.035,-96.69,1.363,-97.27,3,1,1
