frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.085,84.38,0.928,84.37,4,0,1
2,3.086,84.38,0.928,84.29,4,0,1
4,3.086,90.01,0.928,89.95,4,0,1
5,3.086,95.61,0.929,95.6,4,0,1
8,3.086,104.09,0.93,103.94,4,0,1
10,3.085,109.7,0.929,109.68,4,0,1
16,3.086,126.58,0.929,126.52,4,0,1
20,3.084,137.81,0.929,137.8,4,0,1
25,3.086,151.86,0.929,151.73,4,0,1
32,3.087,171.55,0.928,171.46,4,0,1
40,3.085,-165.94,0.93,-165.97,4,0,1
50,3.085,-137.79,0.937,-137.18,4,0,1
80,3.085,-56.24,0.927,-56.25,4,0,1
100,3.086,0.0,0.929,-0.02,4,0,1
125,3.086,70.29,0.928,70.22,4,0,1
160,3.085,168.72,0.926,168.67,4,0,1
200,3.087,-81.54,0.929,-81.56,4,0,1
250,3.086,59.07,0.93,59.11,4,0,1
400,3.086,115.32,0.928,115.23,4,0,1
500,3.087,30.94,0.929,30.71,4,0,1
625,3.087,16.86,0.929,16.58,4,0,1
800,3.086,143.43,0.93,142.93,4,0,1
1000,3.087,-19.69,0.929,-20.49,4,0,1
1250,3.084,-44.99,0.929,-46.21,4,0,1
2000,3.085,-118.1,0.927,-120.76,4,0,1
2500,3.083,-163.1,0.925,-166.77,4,0,1
3125,3.099,134.99,0.928,130.19,4,0,1
4000,3.087,50.62,0.921,44.15,4,0,1
5000,3.084,-22.49,0.917,-30.91,4,0,1
6250,3.086,-140.72,0.91,-151.42,4,0,1
10000,3.082,2.27,0.887,-15.05,4,0,1
12500,3.082,-110.62,0.865,-131.79,4,0,1
15625,3.083,166.76,0.839,141.28,4,0,1
25000,3.083,49.38,0.732,12.19,4,0,1
50000,3.078,8.71,0.509,-47.71,4,0,1
62500,3.068,36.1,0.427,-25.27,4,0,1
80000,3.062,-80.79,0.347,-145.33,4,0,1
100000,3.048,-39.01,0.292,-108.42,4,0,1
