frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.085,84.36,3.281,84.33,3,0,1
2,3.085,84.34,3.28,84.33,3,0,1
4,3.085,90.02,3.284,89.95,3,0,1
5,3.086,95.64,3.284,95.57,3,0,1
8,3.085,104.07,3.286,104.03,3,0,1
10,3.085,109.69,3.286,109.65,3,0,1
16,3.084,126.58,3.286,126.54,3,0,1
20,3.085,137.81,3.28,137.78,3,0,1
25,3.085,151.87,3.279,151.82,3,0,1
32,3.086,171.54,3.278,171.52,3,0,1
40,3.084,-165.95,3.278,-165.96,3,0,1
50,3.087,-137.81,3.277,-137.76,3,0,1
80,3.084,-56.25,3.277,-56.28,3,0,1
100,3.086,0.0,3.277,-0.03,3,0,1
125,3.086,70.3,3.279,70.26,3,0,1
160,3.085,168.73,3.28,168.7,3,0,1
200,3.085,-81.57,3.278,-81.59,3,0,1
250,3.085,59.08,3.278,59.05,3,0,1
400,3.085,112.48,3.279,112.41,3,0,1
500,3.086,30.94,3.278,30.74,3,0,1
625,3.085,16.88,3.278,16.56,3,0,1
800,3.087,143.43,3.278,142.88,3,0,1
1000,3.089,-19.71,3.279,-20.54,3,0,1
1250,3.084,-42.19,3.274,-43.47,3,0,1
2000,3.084,-118.11,3.269,-120.79,3,0,1
2500,3.082,-160.33,3.268,-163.92,3,0,1
3125,3.098,135.0,3.274,130.2,3,0,1
4000,3.086,50.61,3.255,44.12,3,0,1
5000,3.083,-25.33,3.245,-33.73,3,0,1
6250,3.084,-135.07,3.224,-145.8,3,0,1
10000,3.083,5.1,3.152,-12.22,3,0,1
12500,3.084,-110.57,3.073,-131.77,3,0,1
15625,3.08,166.85,2.979,141.22,3,0,1
25000,3.083,49.47,2.596,12.35,3,0,1
50000,3.072,8.85,1.804,-47.21,3,0,1
62500,3.064,36.62,1.507,-24.49,3,0,1
80000,3.056,-137.09,1.226,157.73,3,0,1
100000,3.042,-72.78,1.003,-141.09,3,0,1
