frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.087,84.34,0.927,84.37,4,0,1
2,3.085,84.36,0.929,84.33,4,0,1
4,3.086,90.01,0.928,89.91,4,0,1
5,3.085,95.62,0.929,95.49,4,0,1
8,3.085,104.07,0.929,104.06,4,0,1
10,3.086,109.68,0.929,109.67,4,0,1
16,3.086,126.54,0.929,126.45,4,0,1
20,3.084,137.78,0.929,137.76,4,0,1
25,3.086,151.91,0.928,151.82,4,0,1
32,3.085,171.56,0.929,171.54,4,0,1
40,3.085,-165.91,0.928,-165.92,4,0,1
50,3.085,-137.78,0.919,-137.6,4,0,1
80,3.086,-56.23,0.928,-56.32,4,0,1
100,3.085,0.0,0.93,-0.02,4,0,1
125,3.085,70.32,0.929,70.24,4,0,1
160,3.085,168.74,0.931,168.72,4,0,1
200,3.086,-81.56,0.929,-81.62,4,0,1
250,3.085,59.04,0.926,58.99,4,0,1
400,3.084,115.31,0.929,115.22,4,0,1
500,3.085,30.95,0.929,30.79,4,0,1
625,3.088,19.72,0.931,19.39,4,0,1
800,3.087,143.42,0.928,142.93,4,0,1
1000,3.086,-19.68,0.929,-20.53,4,0,1
1250,3.083,-42.18,0.929,-43.45,4,0,1
2000,3.086,-118.1,0.927,-120.77,4,0,1
2500,3.083,-163.11,0.926,-166.72,4,0,1
3125,3.095,135.02,0.928,130.28,4,0,1
4000,3.087,53.44,0.922,46.96,4,0,1
5000,3.086,-25.32,0.919,-33.72,4,0,1
6250,3.086,-129.46,0.911,-140.16,4,0,1
10000,3.083,2.26,0.888,-15.07,4,0,1
12500,3.084,-110.6,0.865,-131.72,4,0,1
15625,3.085,166.71,0.839,141.28,4,0,1
25000,3.083,49.4,0.736,12.07,4,0,1
50000,3.077,8.68,0.509,-47.8,4,0,1
62500,3.067,36.07,0.426,-25.28,4,0,1
80000,3.062,-137.01,0.351,156.92,4,0,1
100000,3.048,-73.23,0.286,-142.36,4,0,1
