frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.049,84.38,0.768,84.29,0,1,1
2,3.048,84.36,0.768,84.28,0,1,1
4,3.048,89.98,0.768,89.94,0,1,1
5,3.049,95.59,0.767,95.58,0,1,1
8,3.05,104.03,0.767,103.95,0,1,1
10,3.048,109.7,0.768,109.62,0,1,1
16,3.048,126.55,0.768,126.54,0,1,1
20,3.046,137.84,0.768,137.7,0,1,1
25,3.048,151.91,0.768,151.86,0,1,1
32,3.05,171.57,0.767,171.55,0,1,1
40,3.049,-165.91,0.769,-165.97,0,1,1
50,3.046,-137.8,0.768,-137.85,0,1,1
80,3.049,-56.25,0.768,-56.28,0,1,1
100,3.048,0.0,0.767,-0.01,0,1,1
125,3.048,70.3,0.768,70.26,0,1,1
160,3.048,168.77,0.768,168.72,0,1,1
200,3.048,-81.54,0.767,-81.56,0,1,1
250,3.049,59.05,0.768,59.01,0,1,1
400,3.048,112.53,0.768,112.5,0,1,1
500,3.048,30.91,0.768,30.89,0,1,1
625,3.049,16.86,0.768,16.81,0,1,1
800,3.049,143.44,0.769,143.41,0,1,1
1000,3.051,-19.7,0.767,-19.77,0,1,1
1250,3.047,-42.16,0.767,-42.21,0,1,1
2000,3.047,-118.11,0.767,-118.11,0,1,1
2500,3.046,-163.11,0.767,-163.17,0,1,1
3125,3.062,135.02,0.77,134.99,0,1,1
4000,3.048,53.41,0.767,53.33,0,1,1
5000,3.046,-25.43,0.768,-25.46,0,1,1
6250,3.049,-129.68,0.768,-129.64,0,1,1
10000,3.046,1.4,0.767,1.54,0,1,1
12500,3.046,-111.92,0.766,-111.81,0,1,1
15625,3.045,165.32,0.766,165.59,0,1,1
25000,3.043,47.39,0.766,47.62,0,1,1
50000,3.03,4.65,0.763,5.11,0,1,1
62500,3.021,30.73,0.76,31.97,0,1,1
80000,3.002,-143.03,0.755,-141.79,0,1,1
100000,2.974,-81.25,0.752,-80.12,0,1,1
