frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.084,84.39,2.318,84.34,5,0,1
2,3.087,84.35,2.32,84.33,5,0,1
4,3.085,90.0,2.318,89.94,5,0,1
5,3.085,95.61,2.318,95.58,5,0,1
8,3.087,104.06,2.32,104.01,5,0,1
10,3.086,109.69,2.318,109.62,5,0,1
16,3.087,126.56,2.321,126.55,5,0,1
20,3.085,137.79,2.318,137.78,5,0,1
25,3.084,151.88,2.317,151.79,5,0,1
32,3.086,171.56,2.317,171.51,5,0,1
40,3.086,-165.94,2.321,-165.98,5,0,1
50,3.086,-137.81,2.348,-137.56,5,0,1
80,3.086,-56.24,2.319,-56.26,5,0,1
100,3.087,-0.01,2.322,-0.04,5,0,1
125,3.084,70.32,2.316,70.25,5,0,1
160,3.087,168.74,2.312,168.66,5,0,1
200,3.085,-81.56,2.316,-81.56,5,0,1
250,3.085,59.07,2.323,59.11,5,0,1
400,3.087,112.5,2.321,112.35,5,0,1
500,3.086,30.92,2.317,30.79,5,0,1
625,3.087,16.86,2.323,16.58,5,0,1
800,3.087,143.42,2.319,142.89,5,0,1
1000,3.084,-19.69,2.32,-20.63,5,0,1
1250,3.085,-45.0,2.317,-46.26,5,0,1
2000,3.085,-118.1,2.311,-120.67,5,0,1
2500,3.083,-160.32,2.312,-163.84,5,0,1
3125,3.098,135.02,2.316,130.28,5,0,1
4000,3.087,47.79,2.3,41.39,5,0,1
5000,3.086,-22.48,2.292,-30.81,5,0,1
6250,3.085,-137.87,2.28,-148.53,5,0,1
10000,3.084,5.05,2.22,-12.07,5,0,1
12500,3.083,-110.62,2.165,-131.63,5,0,1
15625,3.084,166.72,2.103,141.26,5,0,1
25000,3.084,49.42,1.846,12.01,5,0,1
50000,3.077,8.66,1.293,-48.51,5,0,1
62500,3.068,36.1,1.088,-26.81,5,0,1
80000,3.06,-137.02,0.886,154.7,5,0,1
100000,3.047,-73.22,0.727,-145.87,5,0,1
