frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.084,84.41,1.754,84.37,5,1,1
2,3.085,84.35,1.754,84.27,5,1,1
4,3.082,90.0,1.752,89.96,5,1,1
5,3.084,95.62,1.756,95.56,5,1,1
8,3.084,104.05,1.756,103.99,5,1,1
10,3.085,109.7,1.754,109.62,5,1,1
16,3.085,126.53,1.755,126.47,5,1,1
20,3.084,137.81,1.754,137.75,5,1,1
25,3.083,151.88,1.753,151.82,5,1,1
32,3.085,171.53,1.755,171.52,5,1,1
40,3.083,-165.94,1.753,-166.07,5,1,1
50,3.086,-137.81,1.753,-137.88,5,1,1
80,3.083,-56.27,1.753,-56.26,5,1,1
100,3.084,0.02,1.754,-0.05,5,1,1
125,3.083,70.28,1.754,70.24,5,1,1
160,3.085,168.75,1.754,168.72,5,1,1
200,3.084,-81.58,1.755,-81.63,5,1,1
250,3.085,59.07,1.755,59.04,5,1,1
400,3.084,115.29,1.754,115.26,5,1,1
500,3.086,30.97,1.755,30.95,5,1,1
625,3.086,19.7,1.756,19.58,5,1,1
800,3.087,146.25,1.755,146.22,5,1,1
1000,3.085,-19.66,1.753,-19.7,5,1,1
1250,3.082,-42.2,1.754,-42.2,5,1,1
2000,3.082,-118.1,1.753,-118.2,5,1,1
2500,3.08,-163.1,1.753,-163.13,5,1,1
3125,3.095,134.99,1.762,134.98,5,1,1
4000,3.085,47.79,1.755,47.74,5,1,1
5000,3.083,-25.33,1.753,-25.36,5,1,1
6250,3.083,-129.45,1.757,-129.53,5,1,1
10000,3.084,5.08,1.756,4.39,5,1,1
12500,3.082,-110.66,1.755,-111.76,5,1,1
15625,3.082,166.64,1.754,165.64,5,1,1
25000,3.079,49.29,1.755,47.75,5,1,1
50000,3.073,8.49,1.747,5.49,5,1,1
62500,3.067,35.66,1.744,32.31,5,1,1
80000,3.058,-137.36,1.74,-141.34,5,1,1
100000,3.044,-73.64,1.73,-79.78,5,1,1
