frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.05,84.36,1.534,84.33,1,1,1
2,3.048,84.4,1.534,84.32,1,1,1
4,3.049,89.99,1.534,89.92,1,1,1
5,3.048,95.62,1.534,95.62,1,1,1
8,3.048,104.05,1.534,103.99,1,1,1
10,3.047,109.68,1.534,109.65,1,1,1
16,3.048,126.55,1.534,126.52,1,1,1
20,3.049,137.84,1.533,137.8,1,1,1
25,3.049,151.86,1.534,151.84,1,1,1
32,3.048,171.54,1.533,171.5,1,1,1
40,3.049,-165.94,1.534,-165.98,1,1,1
50,3.05,-137.78,1.535,-137.86,1,1,1
80,3.049,-56.23,1.534,-56.29,1,1,1
100,3.049,0.01,1.534,-0.03,1,1,1
125,3.048,70.33,1.534,70.28,1,1,1
160,3.049,168.74,1.534,168.7,1,1,1
200,3.048,-81.56,1.534,-81.61,1,1,1
250,3.048,59.08,1.534,59.04,1,1,1
400,3.049,112.5,1.534,112.47,1,1,1
500,3.049,30.93,1.535,30.88,1,1,1
625,3.051,16.88,1.535,16.82,1,1,1
800,3.049,143.44,1.534,143.39,1,1,1
1000,3.053,-19.69,1.534,-19.75,1,1,1
1250,3.048,-45.02,1.534,-45.04,1,1,1
2000,3.045,-118.12,1.533,-118.18,1,1,1
2500,3.046,-160.28,1.533,-160.37,1,1,1
3125,3.063,134.99,1.54,134.91,1,1,1
4000,3.049,50.6,1.535,50.56,1,1,1
5000,3.046,-25.41,1.534,-25.43,1,1,1
6250,3.046,-129.68,1.533,-129.65,1,1,1
10000,3.045,1.41,1.532,1.46,1,1,1
12500,3.041,-111.91,1.533,-111.84,1,1,1
15625,3.045,165.31,1.532,165.57,1,1,1
25000,3.042,47.38,1.531,47.56,1,1,1
50000,3.03,4.65,1.525,5.07,1,1,1
62500,3.022,30.73,1.518,31.85,1,1,1
80000,3.001,-143.0,1.51,-141.83,1,1,1
100000,2.974,-81.22,1.5,-80.23,1,1,1
