frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.084,84.37,1.753,84.27,5,1,1
2,3.084,84.37,1.754,84.36,5,1,1
4,3.084,90.0,1.753,89.96,5,1,1
5,3.082,95.64,1.754,95.67,5,1,1
8,3.085,104.07,1.753,104.08,5,1,1
10,3.085,109.68,1.753,109.64,5,1,1
16,3.085,126.55,1.755,126.52,5,1,1
20,3.084,137.81,1.753,137.78,5,1,1
25,3.084,151.88,1.755,151.83,5,1,1
32,3.082,171.54,1.752,171.51,5,1,1
40,3.085,-165.95,1.755,-166.03,5,1,1
50,3.083,-137.8,1.756,-137.86,5,1,1
80,3.084,-56.22,1.755,-56.29,5,1,1
100,3.084,0.01,1.755,0.0,5,1,1
125,3.083,70.3,1.756,70.3,5,1,1
160,3.084,168.77,1.755,168.68,5,1,1
200,3.084,-81.56,1.756,-81.62,5,1,1
250,3.084,59.05,1.756,59.08,5,1,1
400,3.085,115.31,1.755,115.16,5,1,1
500,3.083,30.94,1.753,30.91,5,1,1
625,3.086,16.87,1.756,16.87,5,1,1
800,3.085,143.4,1.755,143.43,5,1,1
1000,3.085,-19.67,1.755,-19.69,5,1,1
1250,3.082,-45.0,1.754,-45.02,5,1,1
2000,3.083,-118.1,1.754,-118.16,5,1,1
2500,3.082,-160.32,1.752,-160.39,5,1,1
3125,3.095,135.01,1.763,134.97,5,1,1
4000,3.084,47.82,1.753,47.83,5,1,1
5000,3.085,-22.5,1.755,-22.48,5,1,1
6250,3.081,-137.86,1.753,-137.99,5,1,1
10000,3.082,5.05,1.755,4.39,5,1,1
12500,3.082,-110.64,1.755,-111.64,5,1,1
15625,3.08,166.66,1.755,165.67,5,1,1
25000,3.081,49.29,1.752,47.77,5,1,1
50000,3.073,8.49,1.746,5.3,5,1,1
62500,3.067,35.68,1.745,32.23,5,1,1
80000,3.058,-81.14,1.739,-85.01,5,1,1
100000,3.045,-39.37,1.73,-45.41,5,1,1
