frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.049,84.39,0.768,84.27,0,1,1
2,3.046,84.39,0.768,84.36,0,1,1
4,3.047,89.99,0.769,89.93,0,1,1
5,3.048,95.67,0.767,95.5,0,1,1
8,3.047,104.07,0.768,104.01,0,1,1
10,3.049,109.68,0.768,109.66,0,1,1
16,3.048,126.54,0.768,126.49,0,1,1
20,3.047,137.81,0.767,137.75,0,1,1
25,3.049,151.86,0.768,151.79,0,1,1
32,3.049,171.57,0.767,171.53,0,1,1
40,3.048,-165.94,0.768,-165.96,0,1,1
50,3.048,-137.77,0.768,-137.83,0,1,1
80,3.049,-56.24,0.768,-56.29,0,1,1
100,3.047,0.0,0.768,-0.05,0,1,1
125,3.047,70.32,0.767,70.25,0,1,1
160,3.049,168.76,0.768,168.65,0,1,1
200,3.048,-81.54,0.768,-81.59,0,1,1
250,3.048,59.08,0.768,59.03,0,1,1
400,3.049,112.51,0.767,112.45,0,1,1
500,3.049,30.93,0.768,30.88,0,1,1
625,3.051,16.87,0.768,16.8,0,1,1
800,3.049,143.46,0.768,143.36,0,1,1
1000,3.05,-19.71,0.768,-19.76,0,1,1
1250,3.048,-42.14,0.767,-42.23,0,1,1
2000,3.046,-118.13,0.768,-118.19,0,1,1
2500,3.047,-163.11,0.767,-163.17,0,1,1
3125,3.062,135.0,0.771,134.97,0,1,1
4000,3.049,53.42,0.768,53.42,0,1,1
5000,3.047,-25.43,0.767,-25.46,0,1,1
6250,3.046,-129.7,0.767,-129.65,0,1,1
10000,3.046,1.38,0.766,1.46,0,1,1
12500,3.043,-111.94,0.766,-111.86,0,1,1
15625,3.045,165.32,0.767,165.57,0,1,1
25000,3.041,47.42,0.766,47.62,0,1,1
50000,3.029,4.62,0.763,5.06,0,1,1
62500,3.023,30.75,0.759,31.91,0,1,1
80000,3.004,-176.76,0.756,-175.53,0,1,1
100000,2.976,-80.68,0.75,-79.66,0,1,1
