frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.086,84.36,1.536,84.24,6,0,1
2,3.085,84.4,1.539,84.35,6,0,1
4,3.084,89.98,1.541,89.96,6,0,1
5,3.085,95.61,1.543,95.62,6,0,1
8,3.086,104.06,1.543,104.11,6,0,1
10,3.085,109.69,1.542,109.72,6,0,1
16,3.086,126.56,1.541,126.36,6,0,1
20,3.087,137.81,1.543,137.75,6,0,1
25,3.084,151.85,1.546,151.86,6,0,1
32,3.086,171.58,1.542,171.58,6,0,1
40,3.086,-165.92,1.541,-165.81,6,0,1
50,3.086,-137.81,1.506,-136.56,6,0,1
80,3.086,-56.26,1.542,-56.27,6,0,1
100,3.087,0.01,1.538,-0.14,6,0,1
125,3.085,70.34,1.544,70.15,6,0,1
160,3.085,168.73,1.524,168.74,6,0,1
200,3.085,-81.55,1.535,-81.5,6,0,1
250,3.086,59.08,1.547,59.51,6,0,1
400,3.085,115.32,1.543,115.08,6,0,1
500,3.087,30.95,1.542,30.71,6,0,1
625,3.088,19.68,1.535,19.25,6,0,1
800,3.087,143.43,1.54,143.04,6,0,1
1000,3.088,-19.7,1.543,-20.41,6,0,1
1250,3.084,-45.02,1.538,-46.34,6,0,1
2000,3.086,-120.97,1.539,-123.44,6,0,1
2500,3.083,-160.27,1.532,-163.73,6,0,1
3125,3.097,135.03,1.541,130.11,6,0,1
4000,3.087,50.63,1.532,44.3,6,0,1
5000,3.086,-25.33,1.525,-33.54,6,0,1
6250,3.084,-129.43,1.518,-140.01,6,0,1
10000,3.083,2.26,1.484,-14.71,6,0,1
12500,3.082,-110.6,1.449,-131.47,6,0,1
15625,3.085,166.74,1.409,141.69,6,0,1
25000,3.083,49.38,1.251,12.19,6,0,1
50000,3.075,8.68,0.887,-49.97,6,0,1
62500,3.069,36.06,0.744,-28.71,6,0,1
80000,3.061,-137.01,0.617,150.8,6,0,1
100000,3.048,-73.19,0.507,-150.67,6,0,1
