frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.086,84.34,3.073,84.22,7,0,1
2,3.085,84.35,3.069,84.25,7,0,1
4,3.086,90.01,3.074,90.02,7,0,1
5,3.085,95.62,3.072,95.55,7,0,1
8,3.086,104.04,3.072,104.02,7,0,1
10,3.086,109.7,3.078,109.72,7,0,1
16,3.085,126.56,3.073,126.61,7,0,1
20,3.086,137.82,3.071,137.66,7,0,1
25,3.085,151.87,3.068,151.83,7,0,1
32,3.086,171.56,3.073,171.42,7,0,1
40,3.086,-165.94,3.066,-165.81,7,0,1
50,3.085,-137.78,2.967,-137.48,7,0,1
80,3.085,-56.27,3.074,-56.46,7,0,1
100,3.085,0.01,3.075,-0.01,7,0,1
125,3.085,70.32,3.072,70.36,7,0,1
160,3.085,168.73,3.039,168.47,7,0,1
200,3.086,-81.54,3.062,-81.64,7,0,1
250,3.085,59.06,3.05,59.18,7,0,1
400,3.085,112.47,3.065,112.42,7,0,1
500,3.084,30.93,3.069,30.77,7,0,1
625,3.087,16.87,3.071,16.81,7,0,1
800,3.087,143.46,3.075,142.93,7,0,1
1000,3.087,-19.68,3.079,-20.33,7,0,1
1250,3.083,-42.18,3.073,-43.3,7,0,1
2000,3.085,-120.9,3.068,-123.26,7,0,1
2500,3.084,-160.28,3.08,-163.62,7,0,1
3125,3.097,132.19,3.065,127.77,7,0,1
4000,3.085,53.43,3.058,47.34,7,0,1
5000,3.085,-25.35,3.042,-33.34,7,0,1
6250,3.085,-129.44,3.028,-139.65,7,0,1
10000,3.084,2.24,2.985,-14.61,7,0,1
12500,3.083,-110.58,2.919,-131.36,7,0,1
15625,3.086,166.75,2.868,141.23,7,0,1
25000,3.082,49.41,2.549,11.17,7,0,1
50000,3.075,8.7,1.86,-54.23,7,0,1
62500,3.068,36.07,1.57,-35.94,7,0,1
80000,3.062,-137.02,1.26,140.34,7,0,1
100000,3.048,-73.23,0.989,-162.75,7,0,1
