frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.086,84.38,1.542,84.49,6,0,1
2,3.087,84.36,1.541,84.25,6,0,1
4,3.085,90.0,1.539,90.05,6,0,1
5,3.085,95.61,1.544,95.65,6,0,1
8,3.086,104.04,1.542,103.99,6,0,1
10,3.085,109.66,1.54,109.66,6,0,1
16,3.087,126.57,1.542,126.46,6,0,1
20,3.084,137.8,1.538,137.74,6,0,1
25,3.085,151.89,1.547,151.91,6,0,1
32,3.085,171.56,1.539,171.56,6,0,1
40,3.086,-165.94,1.536,-166.13,6,0,1
50,3.086,-137.81,1.581,-139.26,6,0,1
80,3.084,-56.22,1.536,-56.23,6,0,1
100,3.086,-0.01,1.539,0.06,6,0,1
125,3.084,70.31,1.541,70.29,6,0,1
160,3.086,168.73,1.537,168.04,6,0,1
200,3.085,-81.56,1.549,-81.72,6,0,1
250,3.087,59.05,1.529,59.55,6,0,1
400,3.085,115.32,1.548,115.16,6,0,1
500,3.085,30.94,1.54,30.85,6,0,1
625,3.088,19.69,1.54,19.65,6,0,1
800,3.087,143.42,1.535,142.95,6,0,1
1000,3.088,-19.66,1.543,-20.45,6,0,1
1250,3.085,-42.15,1.542,-43.33,6,0,1
2000,3.084,-118.1,1.54,-120.42,6,0,1
2500,3.082,-163.14,1.536,-166.61,6,0,1
3125,3.099,134.99,1.54,130.45,6,0,1
4000,3.087,47.81,1.53,41.59,6,0,1
5000,3.087,-22.52,1.525,-30.68,6,0,1
6250,3.084,-126.6,1.519,-137.01,6,0,1
10000,3.083,5.13,1.481,-11.84,6,0,1
12500,3.082,-110.52,1.448,-131.41,6,0,1
15625,3.083,166.9,1.402,141.51,6,0,1
25000,3.082,49.5,1.245,11.97,6,0,1
50000,3.074,8.89,0.885,-49.72,6,0,1
62500,3.07,36.7,0.755,-28.11,6,0,1
80000,3.062,-125.74,0.614,162.92,6,0,1
100000,3.048,-73.19,0.496,-150.45,6,0,1
