frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.087,84.37,2.572,84.33,1,0,1
2,3.085,84.37,2.572,84.34,1,0,1
4,3.085,90.0,2.573,89.96,1,0,1
5,3.086,95.61,2.573,95.58,1,0,1
8,3.087,104.05,2.573,104.02,1,0,1
10,3.087,109.68,2.573,109.65,1,0,1
16,3.084,126.57,2.574,126.53,1,0,1
20,3.086,137.81,2.574,137.78,1,0,1
25,3.085,151.89,2.574,151.83,1,0,1
32,3.086,171.57,2.574,171.53,1,0,1
40,3.086,-165.9,2.574,-165.97,1,0,1
50,3.087,-137.82,2.573,-137.83,1,0,1
80,3.086,-56.27,2.574,-56.28,1,0,1
100,3.085,0.0,2.575,-0.01,1,0,1
125,3.087,70.27,2.574,70.27,1,0,1
160,3.087,168.73,2.575,168.72,1,0,1
200,3.084,-81.53,2.575,-81.59,1,0,1
250,3.084,59.05,2.575,59.01,1,0,1
400,3.085,112.46,2.574,112.41,1,0,1
500,3.087,30.93,2.575,30.76,1,0,1
625,3.087,16.86,2.576,16.58,1,0,1
800,3.087,143.43,2.574,142.89,1,0,1
1000,3.086,-19.68,2.576,-20.52,1,0,1
1250,3.084,-45.01,2.573,-46.26,1,0,1
2000,3.085,-120.95,2.569,-123.56,1,0,1
2500,3.083,-163.12,2.568,-166.71,1,0,1
3125,3.097,134.99,2.571,130.2,1,0,1
4000,3.086,50.58,2.555,44.14,1,0,1
5000,3.085,-25.36,2.545,-33.74,1,0,1
6250,3.082,-129.51,2.526,-140.23,1,0,1
10000,3.083,2.2,2.458,-15.1,1,0,1
12500,3.08,-110.68,2.392,-131.88,1,0,1
15625,3.081,166.61,2.32,141.1,1,0,1
25000,3.078,49.24,2.013,12.17,1,0,1
50000,3.066,8.5,1.391,-47.16,1,0,1
62500,3.056,35.87,1.159,-24.42,1,0,1
80000,3.048,-170.91,0.951,124.82,1,0,1
100000,3.033,-72.88,0.77,-140.03,1,0,1
