frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.085,84.36,1.66,84.35,2,0,1
2,3.085,84.39,1.66,84.31,2,0,1
4,3.084,90.0,1.66,89.95,2,0,1
5,3.085,95.61,1.66,95.55,2,0,1
8,3.086,104.08,1.66,104.04,2,0,1
10,3.086,109.7,1.66,109.65,2,0,1
16,3.087,126.57,1.66,126.52,2,0,1
20,3.087,137.85,1.659,137.78,2,0,1
25,3.085,151.87,1.66,151.85,2,0,1
32,3.086,171.54,1.659,171.53,2,0,1
40,3.085,-165.95,1.66,-165.95,2,0,1
50,3.088,-137.8,1.658,-137.77,2,0,1
80,3.085,-56.24,1.66,-56.27,2,0,1
100,3.085,0.0,1.66,-0.02,2,0,1
125,3.086,70.31,1.66,70.28,2,0,1
160,3.086,168.77,1.661,168.69,2,0,1
200,3.085,-81.54,1.66,-81.61,2,0,1
250,3.084,59.08,1.66,58.99,2,0,1
400,3.087,112.49,1.66,112.38,2,0,1
500,3.085,30.94,1.66,30.78,2,0,1
625,3.086,16.87,1.66,16.57,2,0,1
800,3.088,143.44,1.66,142.89,2,0,1
1000,3.086,-19.66,1.66,-20.55,2,0,1
1250,3.084,-45.0,1.66,-46.28,2,0,1
2000,3.084,-120.92,1.657,-123.59,2,0,1
2500,3.082,-160.3,1.655,-163.91,2,0,1
3125,3.098,132.15,1.657,127.37,2,0,1
4000,3.086,53.45,1.648,46.93,2,0,1
5000,3.084,-22.52,1.641,-30.91,2,0,1
6250,3.084,-137.89,1.627,-148.63,2,0,1
10000,3.082,2.25,1.583,-15.09,2,0,1
12500,3.082,-110.67,1.542,-131.87,2,0,1
15625,3.083,166.69,1.496,141.19,2,0,1
25000,3.081,49.33,1.3,12.25,2,0,1
50000,3.074,8.56,0.9,-47.26,2,0,1
62500,3.067,36.04,0.752,-24.53,2,0,1
80000,3.058,-80.8,0.61,-144.48,2,0,1
100000,3.045,-72.77,0.501,-140.41,2,0,1
