frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.086,84.36,1.289,84.27,0,0,1
2,3.085,84.37,1.288,84.32,0,0,1
4,3.087,90.01,1.289,89.96,0,0,1
5,3.085,95.63,1.288,95.59,0,0,1
8,3.084,104.07,1.288,104.01,0,0,1
10,3.086,109.72,1.288,109.61,0,0,1
16,3.085,126.55,1.289,126.49,0,0,1
20,3.084,137.8,1.289,137.76,0,0,1
25,3.086,151.88,1.289,151.83,0,0,1
32,3.087,171.54,1.289,171.48,0,0,1
40,3.086,-165.91,1.288,-165.99,0,0,1
50,3.086,-137.81,1.288,-137.84,0,0,1
80,3.085,-56.25,1.288,-56.3,0,0,1
100,3.086,0.0,1.288,-0.05,0,0,1
125,3.085,70.33,1.289,70.27,0,0,1
160,3.085,168.79,1.288,168.74,0,0,1
200,3.085,-81.55,1.289,-81.61,0,0,1
250,3.084,59.03,1.289,58.99,0,0,1
400,3.086,112.47,1.288,112.36,0,0,1
500,3.086,30.93,1.289,30.79,0,0,1
625,3.087,16.87,1.288,16.55,0,0,1
800,3.087,143.41,1.288,142.89,0,0,1
1000,3.088,-19.7,1.288,-20.53,0,0,1
1250,3.085,-44.99,1.287,-46.29,0,0,1
2000,3.084,-118.15,1.285,-120.8,0,0,1
2500,3.082,-163.15,1.284,-166.77,0,0,1
3125,3.096,134.98,1.285,130.17,0,0,1
4000,3.085,50.58,1.277,44.1,0,0,1
5000,3.085,-25.4,1.271,-33.82,0,0,1
6250,3.082,-129.47,1.262,-140.24,0,0,1
10000,3.081,2.16,1.228,-15.17,0,0,1
12500,3.079,-110.74,1.195,-131.93,0,0,1
15625,3.08,166.56,1.158,141.09,0,0,1
25000,3.075,49.25,1.004,12.24,0,0,1
50000,3.063,8.49,0.695,-47.05,0,0,1
62500,3.056,35.87,0.579,-24.2,0,0,1
80000,3.048,-137.15,0.47,158.7,0,0,1
100000,3.032,-73.35,0.386,-140.42,0,0,1
