frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.085,84.36,2.747,84.28,7,1,1
2,3.084,84.37,2.743,84.28,7,1,1
4,3.086,90.0,2.746,89.96,7,1,1
5,3.085,95.63,2.747,95.56,7,1,1
8,3.087,104.05,2.748,104.01,7,1,1
10,3.085,109.67,2.747,109.74,7,1,1
16,3.084,126.55,2.746,126.61,7,1,1
20,3.084,137.79,2.75,137.84,7,1,1
25,3.084,151.9,2.746,151.78,7,1,1
32,3.085,171.59,2.749,171.49,7,1,1
40,3.084,-165.91,2.743,-165.96,7,1,1
50,3.084,-137.81,2.747,-137.83,7,1,1
80,3.086,-56.25,2.748,-56.23,7,1,1
100,3.085,0.0,2.748,0.02,7,1,1
125,3.085,70.3,2.752,70.21,7,1,1
160,3.086,168.71,2.744,168.83,7,1,1
200,3.086,-81.56,2.75,-81.58,7,1,1
250,3.086,59.07,2.743,58.99,7,1,1
400,3.085,112.53,2.744,112.48,7,1,1
500,3.083,30.9,2.751,30.82,7,1,1
625,3.086,16.87,2.752,16.83,7,1,1
800,3.087,143.42,2.751,143.44,7,1,1
1000,3.086,-19.7,2.751,-19.75,7,1,1
1250,3.084,-44.98,2.743,-44.82,7,1,1
2000,3.083,-118.1,2.749,-118.1,7,1,1
2500,3.083,-160.27,2.747,-160.36,7,1,1
3125,3.096,135.01,2.76,134.8,7,1,1
4000,3.085,50.62,2.753,50.08,7,1,1
5000,3.085,-25.31,2.749,-26.2,7,1,1
6250,3.083,-129.43,2.748,-130.62,7,1,1
10000,3.082,5.09,2.739,2.25,7,1,1
12500,3.082,-110.63,2.74,-114.09,7,1,1
15625,3.084,166.68,2.746,162.56,7,1,1
25000,3.079,49.36,2.728,43.06,7,1,1
50000,3.076,8.6,2.665,-3.75,7,1,1
62500,3.07,35.92,2.634,20.69,7,1,1
80000,3.058,-80.92,2.569,-99.43,7,1,1
100000,3.041,-72.87,2.485,-97.11,7,1,1
