frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.048,84.38,1.534,84.32,1,1,1
2,3.047,84.37,1.535,84.34,1,1,1
4,3.049,89.99,1.533,89.94,1,1,1
5,3.048,95.61,1.534,95.57,1,1,1
8,3.048,104.05,1.534,104.0,1,1,1
10,3.049,109.68,1.534,109.64,1,1,1
16,3.048,126.56,1.534,126.5,1,1,1
20,3.048,137.82,1.535,137.76,1,1,1
25,3.048,151.89,1.535,151.84,1,1,1
32,3.049,171.55,1.535,171.55,1,1,1
40,3.048,-165.95,1.535,-165.99,1,1,1
50,3.049,-137.78,1.535,-137.84,1,1,1
80,3.049,-56.26,1.535,-56.28,1,1,1
100,3.048,0.01,1.535,-0.05,1,1,1
125,3.049,70.31,1.536,70.25,1,1,1
160,3.048,168.73,1.535,168.73,1,1,1
200,3.047,-81.56,1.534,-81.61,1,1,1
250,3.049,59.08,1.536,59.02,1,1,1
400,3.048,112.48,1.534,112.46,1,1,1
500,3.05,30.94,1.535,30.89,1,1,1
625,3.05,16.88,1.535,16.84,1,1,1
800,3.05,143.46,1.535,143.38,1,1,1
1000,3.051,-19.64,1.536,-19.73,1,1,1
1250,3.047,-45.01,1.534,-45.04,1,1,1
2000,3.048,-118.12,1.534,-118.15,1,1,1
2500,3.045,-160.28,1.533,-160.3,1,1,1
3125,3.061,135.02,1.542,135.0,1,1,1
4000,3.047,50.56,1.536,50.61,1,1,1
5000,3.048,-25.4,1.535,-25.42,1,1,1
6250,3.047,-129.72,1.535,-129.67,1,1,1
10000,3.047,1.38,1.534,1.46,1,1,1
12500,3.046,-111.92,1.535,-111.86,1,1,1
15625,3.044,165.31,1.534,165.6,1,1,1
25000,3.043,47.37,1.532,47.57,1,1,1
50000,3.029,4.62,1.526,5.05,1,1,1
62500,3.022,30.73,1.521,31.83,1,1,1
80000,3.004,-142.95,1.512,-141.88,1,1,1
100000,2.976,-81.24,1.502,-80.36,1,1,1
