frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.086,84.37,2.572,84.34,1,0,1
2,3.085,84.36,2.571,84.33,1,0,1
4,3.083,90.0,2.572,89.96,1,0,1
5,3.084,95.61,2.572,95.57,1,0,1
8,3.087,104.07,2.573,104.03,1,0,1
10,3.085,109.67,2.574,109.65,1,0,1
16,3.084,126.53,2.574,126.54,1,0,1
20,3.086,137.8,2.574,137.77,1,0,1
25,3.086,151.86,2.574,151.83,1,0,1
32,3.086,171.54,2.575,171.51,1,0,1
40,3.085,-165.95,2.575,-165.95,1,0,1
50,3.085,-137.8,2.574,-137.81,1,0,1
80,3.086,-56.25,2.573,-56.28,1,0,1
100,3.084,0.0,2.574,-0.03,1,0,1
125,3.086,70.31,2.575,70.28,1,0,1
160,3.084,168.75,2.574,168.73,1,0,1
200,3.085,-81.55,2.574,-81.59,1,0,1
250,3.084,59.06,2.574,59.03,1,0,1
400,3.086,115.3,2.574,115.22,1,0,1
500,3.087,30.92,2.575,30.76,1,0,1
625,3.087,19.66,2.575,19.38,1,0,1
800,3.087,143.41,2.574,142.9,1,0,1
1000,3.087,-19.69,2.576,-20.52,1,0,1
1250,3.085,-42.2,2.573,-43.45,1,0,1
2000,3.085,-118.15,2.569,-120.75,1,0,1
2500,3.084,-163.16,2.567,-166.68,1,0,1
3125,3.096,134.99,2.571,130.22,1,0,1
4000,3.084,50.6,2.555,44.14,1,0,1
5000,3.084,-25.38,2.545,-33.76,1,0,1
6250,3.085,-129.51,2.526,-140.2,1,0,1
10000,3.081,2.17,2.457,-15.1,1,0,1
12500,3.08,-110.72,2.391,-131.89,1,0,1
15625,3.081,166.63,2.319,141.09,1,0,1
25000,3.076,49.25,2.014,12.19,1,0,1
50000,3.063,8.51,1.389,-47.17,1,0,1
62500,3.056,35.89,1.159,-24.4,1,0,1
80000,3.046,-137.15,0.939,158.51,1,0,1
100000,3.034,-73.34,0.769,-140.51,1,0,1
