frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.085,84.41,1.376,84.22,6,1,1
2,3.085,84.38,1.378,84.47,6,1,1
4,3.086,90.01,1.38,89.98,6,1,1
5,3.084,95.64,1.375,95.55,6,1,1
8,3.083,104.07,1.376,104.18,6,1,1
10,3.085,109.7,1.38,109.56,6,1,1
16,3.085,126.53,1.376,126.48,6,1,1
20,3.084,137.81,1.376,137.88,6,1,1
25,3.085,151.86,1.377,151.79,6,1,1
32,3.085,171.57,1.376,171.55,6,1,1
40,3.084,-165.92,1.377,-166.08,6,1,1
50,3.086,-137.81,1.375,-138.01,6,1,1
80,3.086,-56.24,1.375,-56.3,6,1,1
100,3.086,-0.01,1.375,-0.1,6,1,1
125,3.087,70.31,1.376,70.38,6,1,1
160,3.088,168.73,1.378,168.77,6,1,1
200,3.085,-81.56,1.376,-81.59,6,1,1
250,3.085,59.08,1.377,59.08,6,1,1
400,3.083,112.46,1.374,112.4,6,1,1
500,3.086,30.94,1.379,30.94,6,1,1
625,3.086,16.86,1.376,16.8,6,1,1
800,3.086,143.43,1.375,143.34,6,1,1
1000,3.086,-19.7,1.374,-19.7,6,1,1
1250,3.083,-42.17,1.375,-42.28,6,1,1
2000,3.082,-118.12,1.377,-118.16,6,1,1
2500,3.082,-163.12,1.376,-163.21,6,1,1
3125,3.097,135.0,1.378,134.87,6,1,1
4000,3.085,50.64,1.376,50.51,6,1,1
5000,3.085,-25.29,1.376,-25.62,6,1,1
6250,3.083,-129.44,1.377,-130.14,6,1,1
10000,3.084,5.06,1.379,3.43,6,1,1
12500,3.084,-110.63,1.373,-112.9,6,1,1
15625,3.082,166.65,1.367,164.27,6,1,1
25000,3.081,49.35,1.37,45.74,6,1,1
50000,3.076,8.59,1.363,1.17,6,1,1
62500,3.067,35.92,1.349,26.94,6,1,1
80000,3.06,-80.93,1.339,-91.63,6,1,1
100000,3.046,-72.87,1.319,-87.03,6,1,1
