frequency_hz,v_magnitude,v_phase_deg,i_magnitude,i_phase_deg,pga_gain,tia_gain,valid
1,3.087,84.37,1.66,84.31,2,0,1
2,3.085,84.38,1.66,84.33,2,0,1
4,3.085,89.99,1.66,89.96,2,0,1
5,3.085,95.62,1.66,95.59,2,0,1
8,3.086,104.07,1.66,104.01,2,0,1
10,3.085,109.68,1.66,109.67,2,0,1
16,3.086,126.57,1.659,126.52,2,0,1
20,3.086,137.83,1.66,137.76,2,0,1
25,3.085,151.85,1.66,151.85,2,0,1
32,3.087,171.57,1.661,171.51,2,0,1
40,3.086,-165.94,1.661,-165.95,2,0,1
50,3.087,-137.8,1.659,-137.76,2,0,1
80,3.086,-56.23,1.66,-56.27,2,0,1
100,3.086,0.01,1.66,-0.03,2,0,1
125,3.086,70.35,1.661,70.25,2,0,1
160,3.085,168.78,1.66,168.68,2,0,1
200,3.085,-81.54,1.661,-81.59,2,0,1
250,3.085,59.06,1.659,59.03,2,0,1
400,3.086,112.51,1.659,112.39,2,0,1
500,3.086,30.92,1.661,30.79,2,0,1
625,3.086,16.87,1.66,16.54,2,0,1
800,3.087,143.44,1.66,142.88,2,0,1
1000,3.088,-19.68,1.661,-20.52,2,0,1
1250,3.083,-42.18,1.658,-43.42,2,0,1
2000,3.085,-120.92,1.656,-123.6,2,0,1
2500,3.081,-160.31,1.655,-163.91,2,0,1
3125,3.096,135.01,1.657,130.19,2,0,1
4000,3.086,50.62,1.647,44.11,2,0,1
5000,3.086,-30.95,1.64,-39.34,2,0,1
6250,3.083,-135.07,1.627,-145.79,2,0,1
10000,3.082,2.26,1.584,-15.03,2,0,1
12500,3.083,-110.57,1.542,-131.8,2,0,1
15625,3.082,166.87,1.495,141.28,2,0,1
25000,3.08,49.44,1.298,12.4,2,0,1
50000,3.074,8.82,0.9,-46.94,2,0,1
62500,3.064,36.65,0.752,-24.18,2,0,1
80000,3.057,-125.82,0.608,169.63,2,0,1
100000,3.044,-73.26,0.501,-140.96,2,0,1
